"societe";"ref";"date";"produit";"date2";"compte_absystech_before";"compte_absystech_after";"type";"quantite";" prix ";"id_facture_ligne";"type_facture"
"2d Developpement";"FLI19070001";01/07/2019;"AbsysTech Cloud Backup Pack Business - Jusque 1To de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 448 bits - Support par ticket hotline - Support téléphonique - Pas de limite du nombre de postes sauvegardés - Accès aux options Serenity et Boost recovery - Forfait ajustable (par mois) - Engagement 1 an";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";43171;"facture_periodique"
"2d Developpement";"FLI19070001";01/07/2019;"Licence 1 poste avec option Serenity (par mois)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 6.00 ";43172;"facture_periodique"
"A2PR Ingénierie";"FLI19070002";01/07/2019;"Microsoft Office 365 Business - Comprend Outlook, Word, Excel, PowerPoint, OneNote, Access et OneDrive - Inclus Support Hotline AbsysTech illimité";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 10.30 ";43174;"facture_periodique"
"ACE SOFEC";"FLI19070003";01/07/2019;"AbsysTech Cloud Backup Pack Business - Jusque 1To de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 448 bits - Support par ticket hotline - Support téléphonique - Pas de limite du nombre de postes sauvegardés - Accès aux options Serenity et Boost recovery - Forfait ajustable (par mois) - Engagement 1 an";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";43177;"facture_periodique"
"ACE SOFEC";"FLI19070003";01/07/2019;"Licence 1 poste avec option Serenity (par mois)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"3.00";" 6.00 ";43178;"facture_periodique"
"Actarea Consulting";"FLI19070004";01/07/2019;"Compte mail Exchange Outlook 365";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 9.20 ";43180;"facture_periodique"
"APM & COMPAGNIE";"FLI19070005";01/07/2019;"La fourniture d'un nom de domaine tuttifani.fr - La mise à disposition d'un espace de stockage de 10 Go (PHP7) - 5 bases de données MySQL - 5 comptes emails Echange Outlook 365 - Les éléments actifs de sécurité (Monitoring des sites 24/24, Filtrage actif d'IP pour bloquer les tentatives d'attaques, Scan mensuel du site contre les malwares) -  La sauvegarde sur 7 jours des bases de données et des sites - L'accès au support illimité pour les problèmes d'hébergement ou de mails - La gestion des Ports (illimit";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";43183;"facture_periodique"
"APM & COMPAGNIE";"FLI19070005";01/07/2019;"Nom de domaine supplémentaire : tutti-fani.com, tuttifani.com, tutti-fani.fr";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"3.00";" 1.90 ";43184;"facture_periodique"
"Assistec Etudes";"FLI19070006";01/07/2019;"Compte mail Exchange Outlook 365";01/07/2019;"VENTES MARCHANDISES - ABO RENOUV";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 8.20 ";43186;"facture_periodique"
"ASTRADEC";"FLI19070007";01/07/2019;"Compte utilisateur sécurisé";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 5.00 ";43188;"facture_periodique"
"ATOUTCOMS";"FLI19070008";01/07/2019;"Compte de messagerie Exchange Outlook 365 avec support technique illimité (Office 365 Full / Entreprise E3) [nl]Comprend entre autres Office Online + Office Offline sur 5 PC Windows ou Mac - Offre sans engagement.";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 21.70 ";43581;"facture_periodique"
"ATOUTCOMS";"FLI19070009";01/07/2019;"Client E2B2: Mise à disposition sans engagement - LENOVO LT2323PWA GRADE A/ LCD/ 23/ 16/9/ VGA/ DVI/ DISPLAY PORT";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"5.00";" 10,00 € ";43195;"facture_periodique"
"ATOUTCOMS";"FLI19070009";01/07/2019;"Pour le client E2B2: Mise à disposition sans engagement - HP EliteBook 820 G1 - Grade A - Intel Core i5 4300U 1,9Ghz - 8Go RAM - 240Go SSD - Ecran 12,5 pouces LED 1366x768 - Webcam - Microsoft Windows 10 Pro - Avec station d'accueil";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 28.00 ";43196;"facture_periodique"
"ATOUTCOMS";"FLI19070009";01/07/2019;"Pourle client E2B2: Mise à disposition sans engagement - LENOVO M93P THINKCENTRE 10AA-S0551A GRADE A/ TINY/ I5 4570T 2.9GHZ 4 159,00 10% 572,40 V20 4 Gb / 500Go SATA / Windows 10 Pro";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"4.00";" 20.00 ";43197;"facture_periodique"
"CAP Recouvrement";"FLI19070010";01/07/2019;"Compte Microsoft Office 365 Business Premium - Licence d'abonnement mensuelle sans engagement avec support technique illimité";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"16.00";" 15.50 ";43199;"facture_periodique"
"CONFINANCIALIS";"FLI19070011";01/07/2019;"Microsoft Office 365 Business - Offre sans engagement - Licence d'abonnement ( 1 mois ) - 1 utilisateur - agréé Microsoft - MOLP: Open Business - Open (Comprend Word, Excel, Outlook, OneNote et PowerPoint) [nl] Support hotline AbsysTech illimité pour les problématiques de compte de messagerie";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 10.30 ";43201;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19070012";01/07/2019;"AbsysTech Cloud Backup Pack Business - Jusque 1To de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 448 bits - Support par ticket hotline - Support téléphonique - Pas de limite du nombre de postes sauvegardés - Accès aux options Serenity et Boost recovery - Forfait ajustable (par mois) - Engagement 1 an";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";43204;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19070012";01/07/2019;"Licence 1 poste avec option Serenity (par mois)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 6.00 ";43205;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19070013";01/07/2019;"Maintenances préventive et proactive mensuelles d'un SonicWall TZ400 avec surveillance et mises à jour incluses (10% de remise incluse)";01/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 54.00 ";43209;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19070013";01/07/2019;"Controller Unifi - Interface web centralisée (outil de gestion)- Politique de sécurité - Prévention d'intrusion - Qualité de service (QoS) avec réservation de la bande passante - Gestion des mots de passe - Gestion des accès utilisateurs - Multiples SSID (plusieurs réseaux distincts possibles - Mise à jour des firmwares des bornes à distance - Hébergement sur le Cloud privé d'AbsysTech - Administration par AbsysTech - Génération identifiants et mots de passe pour l'administrateur interne - Supervision de l'";01/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 5.00 ";43210;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19070013";01/07/2019;"Maintenance mensuelle à distance du serveur HPE ProLiant ML350 Gen9 Implique chaque mois le monitoring du serveur, la vérification de la politique de sécurité et les corrections mineures éventuellement nécessaires (type maintenance préventive)";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 58.00 ";43211;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19070014";01/07/2019;"Compte de messagerie Exchange Outlook 365 (Office 365 standard) avec Office Online et support technique illimité";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"23.00";" 24.70 ";43215;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19070014";01/07/2019;"Gestion des DNS (serveur gérant le Système de Noms de Domaine) - Offre sans engagement";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 2.00 ";43216;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19070014";01/07/2019;"Réservation d'un nom de domaine en .fr - Domaine : cfgfinance.fr - Offre sans engagement";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 1.90 ";43217;"facture_periodique"
"Design d'O";"FLI19070015";01/07/2019;"Maintenance, Infogérance, Sauvegarde et Monitoring";01/07/2019;"PRESTATIONS INFRA";"MAINTENANCE INFRA";"service";"1.00";" 100.00 ";43220;"facture_periodique"
"Design d'O";"FLI19070015";01/07/2019;"Location Serveur dédié - Intel Xeon i7 W3520 - 24Go DDR3 - 2x2To RAID1";01/07/2019;"LOCATION HEBERGEMENT";"MAINTENANCE INFRA";"service";"1.00";" 159.00 ";43221;"facture_periodique"
"DOURDIN";"FLI19070016";01/07/2019;"Infogérance Kaspersky Antivirus - Pilotage et supervision de l'état des antivirus sur console de management centralisée (pour 3 ans) - Soit 0,80 ¤ HT/mois/machine";01/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"85.00";" 0.80 ";43223;"facture_periodique"
"ECKLIPSE";"FLI19070017";01/07/2019;"AbsysTech Cloud Backup Pack Starter - Jusque 100Go de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 128 bits - Support par ticket hotline - Support téléphonique - Limité à 1 poste utilisateur par compte";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 25.00 ";43225;"facture_periodique"
"Equipmo";"FLI19070018";01/07/2019;"Compte mail Exchange Outlook 365";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 9.20 ";43227;"facture_periodique"
"FXM EVENEMENTS";"FLI19070019";01/07/2019;"AbsysTech Cloud Backup Pack Business";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";43231;"facture_periodique"
"FXM EVENEMENTS";"FLI19070019";01/07/2019;"Licence 1 poste avec option Serenity (par mois) - Engagement d'un an";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 6.00 ";43232;"facture_periodique"
"FXM EVENEMENTS";"FLI19070019";01/07/2019;"500 Go d'espace de stockage supplémentaire dans le cadre de la sauvegarde et la sécurisation de vos données par le biais d'AbsysTech Cloud Backup - Pack Business";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 20.00 ";43233;"facture_periodique"
"FXM EVENEMENTS";"FLI19070020";01/07/2019;"Microsoft Office 365 Business - Offre sans engagement - Licence d'abonnement ( 1 mois ) - 1 utilisateur - agréé Microsoft - MOLP: Open Business - Open (Comprend Word, Excel, Outlook et PowerPoint) [nl] Support hotline AbsysTech illimité";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 15.50 ";43235;"facture_periodique"
"Gan Assurances";"FLI19070021";01/07/2019;"Microsoft Office 365 Business Essentials - Licence d'abonnement ( 1 an ) - 1 utilisateur - hébergé - agréé Microsoft - MOLP: Open Business - Open - Single Language [nl]Support technique AbsysTech illimité pour toute action corrective au bon fonctionnement du compte Office 365";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 9.20 ";43238;"facture_periodique"
"Gan Assurances";"FLI19070021";01/07/2019;"Compte Microsoft Office 365 Business Premium - Licence d'abonnement mensuelle sans engagement - 1 utilisateur - hébergé - agréé Microsoft - Microsoft OneNote/Publisher (Windows only) - Single Language (comprend Word, Excel, PowerPoint, Outlook, OneNote, Publisher, OneDrive Entreprise, Skype Entreprise) [nl]Support technique AbsysTech illimité pour toute action corrective au bon fonctionnement du compte Office 365";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 15.50 ";43239;"facture_periodique"
"Iconex Ingénierie";"FLI19070022";01/07/2019;"Microsoft Project Online Professionnel - Licence valable pour un maximum de 5 PC par utilisateur - Inclus logiciel Microsoft Project et gestion de projet dans le Cloud via un navigateur Web";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 27.80 ";43242;"facture_periodique"
"Iconex Ingénierie";"FLI19070022";01/07/2019;"Microsoft Office 365 Business - Comprend Outlook, Word, Excel, PowerPoint, OneNote, Access et OneDrive - Inclus Support Hotline AbsysTech illimité";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 10.30 ";43243;"facture_periodique"
"Iconex Ingénierie";"FLI19070023";01/07/2019;"Prestation en régie - 3 prestations de 7 heures par an";01/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 190.00 ";43245;"facture_periodique"
"Insitaction";"FLI19070024";01/07/2019;"Controller Unifi - Interface web centralisée (outil de gestion)- Politique de sécurité - Prévention d'intrusion - Qualité de service (QoS) avec réservation de la bande passante - Gestion des mots de passe - Gestion des accès utilisateurs - Multiples SSID (plusieurs réseaux distincts possibles - Mise à jour des firmwares des bornes à distance - Hébergement sur le Cloud privé d'AbsysTech - Administration par AbsysTech - Génération identifiants et mots de passe pour l'administrateur interne";01/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"5.00";" 5.00 ";43247;"facture_periodique"
"Interface";"FLI19070025";01/07/2019;"Microsoft Office 365 Business - Licence d'abonnement - 1 utilisateur - Offre sans engagement - Une licence comprend les logiciels Office complets installés sur 5 PC ou Mac, 5 téléphones et 5 tablettes par utilisateur - Agréé Microsoft - MOLP: Open Business - Open (Comprend Word, Excel, Outlook, PowerPoint et OneNote + Publisher et Acess sur PC uniquement)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 10.60 ";43249;"facture_periodique"
"KOYTCHA CONSEIL";"FLI19070026";01/07/2019;"kip.re / Abonnement Hébergement Pro 2018";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 27.00 ";43252;"facture_periodique"
"KOYTCHA CONSEIL";"FLI19070026";01/07/2019;"koytchaconseil.com / Abonnement Hébergement Pro 2018";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 27.00 ";43253;"facture_periodique"
"L'Atelier Webmarketing";"FLI19070027";01/07/2019;"Maintenance, Infogérance, Sauvegarde et Monitoring";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 180.00 ";43255;"facture_periodique"
"KREATIC";"FLI19070028";01/07/2019;"Serveur Cloud évolutif Classe Entreprise : 2 vPCU - RAM 8 Go - 50 Go d'espace de stockage haute performance dont 8 Go de SWAP - 300 Go d'espace de stockage normal - 5000 iops - SLA : 99,95%";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 135.20 ";43261;"facture_periodique"
"KREATIC";"FLI19070028";01/07/2019;"Firewall Fortinet « nouvelle génération » avec fonctionnalités avancées : anti-intrusion, antivirus de flux, filtrage d'url, filtrage protocolaire et contrôle applicatif";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 35.00 ";43262;"facture_periodique"
"KREATIC";"FLI19070028";01/07/2019;"Adresse IP supplémentaire";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 2.50 ";43263;"facture_periodique"
"KREATIC";"FLI19070028";01/07/2019;"Maintenance base 5j/7 Monitoring basique du serveur";01/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 200.00 ";43264;"facture_periodique"
"KREATIC";"FLI19070028";01/07/2019;"Serveur Plesk Web Host Edition - Engagement annuel :  Domaines illimités  WordPress Toolkit  Pack de développeur  Gestion des abonnements  Gestion de compte";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 36.00 ";43265;"facture_periodique"
"Mairie de Carency";"FLI19070029";01/07/2019;"Abonnement Hébergement  comprenant: La fourniture d'un nom de domaine en « .fr » - La mise à disposition d'un espace de stockage de 1 Go (PHP7) - 5 bases de données MySQL - Les éléments actifs de sécurité (Monitoring des sites 24/24, Filtrage actif d'IP pour bloquer les tentatives d'attaques, Scan mensuel du site contre les malwares) - La sauvegarde sur 7 jours des bases de données et des sites - L'accès au support illimité pour les problèmes d'hébergement ou de mails - La gestion des Ports (illimité) - L";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 27.00 ";43271;"facture_periodique"
"MAISON BALLESTER SENECHAL";"FLI19070030";01/07/2019;"Microsoft Office 365 (Plan E3) - Licence d'abonnement ( par mois ) - 1 utilisateur - hébergé - agréé Microsoft - MOLP: Open Business - Open - Single Language - Support inclus";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 24.70 ";43273;"facture_periodique"
"Mortreux SAS";"FLI19070031";01/07/2019;"Maintenances préventive et proactive mensuelles avec mises à jour incluses, Routeur SonicWALL SOHO . Dispositif de sécurité - 5 ports - 10Mb LAN, 100Mb LAN, GigE (engagement de 36 mois)";01/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 60.00 ";43275;"facture_periodique"
"Nadia Canonne Avocats";"FLI19070032";01/07/2019;"Compte mail Microsoft Exchange 365 (boîte aux lettres de 50 Go/utilisateur). Exchange Online pour : nc@nadiacanonneavocats.com, contact@nadiacanonneavocats.com , lj@nadiacanonneavocats.com, simon.fromont@nadiacanonneavocats.com (ou sf@nadiacanonneavocats) - Sont inclus la prestation de transfert des mails vers Exchange - L'accès au support technique illimité pour les problèmes de mails, de calendriers";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 8.20 ";43278;"facture_periodique"
"Nadia Canonne Avocats";"FLI19070032";01/07/2019;"Abonnement Hébergement";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 27.00 ";43279;"facture_periodique"
"Nadia Canonne Avocats";"FLI19070033";01/07/2019;"AbsysTech Cloud Backup Pack Starter - Jusque 100Go de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 128 bits - Support par ticket hotline - Support téléphonique - Limité à 1 poste utilisateur par compte - Engagement d'un an (par mois)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 25.00 ";43281;"facture_periodique"
"NORD MED";"FLI19070034";01/07/2019;"Abonnement mensuel Microsoft Office 365 Business Essentials Support technique AbsysTech illimité sur l'ensemble des fonctions basiques de la suite Office";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 9.20 ";43285;"facture_periodique"
"NORD MED";"FLI19070034";01/07/2019;"Compte Microsoft Office 365 Business Premium - Licence d'abonnement mensuelle sans engagement avec support technique illimité pour l'ensemble des fonctionnalités basiques de la suite Office - 1 utilisateur - hébergé - agréé Microsoft - Microsoft OneNote/Publisher (Windows only) - Single Language (comprend Word, Excel, PowerPoint, Outlook, OneNote, Publisher, OneDrive Entreprise, Skype Entreprise)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 15.50 ";43286;"facture_periodique"
