"societe";"ref";"date";"produit";"date2";"compte_absystech_before";"compte_absystech_after";"type";"quantite";"prix";"id_facture_ligne";"type_facture"
"2d Developpement";"AFLI19070001";02/07/2019;"Redevance mensuelle pour Fibre Optique Eurafibre 10 Mbps - 363 rue de Saint Amand 59500 Douai - Garantie de Temps de rétablissement : sous 4h du lundi au vendredi de 9h à 18h";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"387.00";44541;"facture_periodique"
"2d Developpement";"AFLI19070001";02/07/2019;"Location routeur Fibre Optique";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"15.00";44542;"facture_periodique"
"AA PROTECTION";"AFLI19070002";02/07/2019;"Forfait 4G illimité fixes / mobiles / SMS / MMS / Data 1 Go - Réseau Orange (Engagement 12 mois)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"14.00";44545;"facture_periodique"
"AA PROTECTION";"AFLI19070002";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"0.00";44546;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Abonnement mobile - Forfait illimité - Data 3Go";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"13.00";44561;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Abonnement 4G - forfait illimité - data 10Go";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"16.00";44562;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Abonnement Fibre ZVS 100Mbps";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"375.00";44563;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Cloud Firewall Standard";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"16.00";44564;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Abonnement 4G - Forfait illimité - Data 5Go";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"4.00";"15.00";44565;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Abonnement 4G - Forfait illimité - Data 1Go";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"9.00";44566;"facture_periodique"
