Magasins - 20171102;N° Mag;Adr1 Mag;Adr2 Mag;Adr3 Mag;Codpo Mag;Ville Mag;Tel Mag;Fax Mag;Borne DECT;Fixe;DECT
ARRAS;3;AVENUE WINSTON CHURCHILL;FACE A AUCHAN;;62000;ARRAS;03 21 07 15 99;321512266;3;1;3
VILLENEUVE D'ASCQ;15;RUE DE VERSAILLES;;;59650;VILLENEUVE D'ASCQ;03 20 05 50 60;320473094;3;1;9
VALENCIENNES;16;CENTRE COMMERCIAL AUCHAN;;;59494;PETITE FORET;03 27 46 82 75;327202207;3;1;4
BRUAY LABUISSIERE;19;RN 41;2206 AV DE LA LIBERATION;;62700;LABUISSIERE;03 21 65 06 25;321536322;3;1;1
AMIENS;20;AVENUE DU 14 JUILLET 1789;;;80000;AMIENS;03 22 45 00 70;322454000;3;1;3
ST BRICE SOUS FORET;44;100 RUE DE PARIS;ZAE LES PERRUCHES;;95350;SAINT BRICE SOUS FORET;01 39 33 60 50;139336733;3;1;5
BOULOGNE SUR MER;60;CENTRE COMMERCIAL AUCHAN;;;62200;ST MARTIN LEZ BOULOGNE;03 21 31 90 09;321915640;3;1;4
CREIL;105;RN 16;CENTRE COMMERCIAL;;60740;SAINT MAXIMIN;03 44 24 36 20;344241150;3;1;5
NOYELLES GODAULT;128;ZAC DU BORD DES EAUX;CENTRE COMMERCIAL AUCHAN;;62950;NOYELLES GODAULT;03 21 76 14 00;321200287;3;1;3
COMPIEGNE;150;137 RUE DES METIERS;CCIAL VENETTE;;60880;JAUX;03 44 83 64 64;344832852;3;1;4
GRANDE SYNTHE;178;ROUTE DE SPYCKER;CCIAL AUCHAN;;59760;GRANDE SYNTHE;03 28 21 99 99;328216745;3;1;4
DIEPPE;201;AVENUE DES CANADIENS;CCIAL DU BELVEDERE;;76200;DIEPPE;02 35 06 19 25;235061923;3;1;4
TARBES IBOS;7;ROUTE DE PAU;LIEU DIT DESSUS POUEY;;65420;IBOS;05 62 93 65 46;562937095;3;1;3
BX MERIGNAC;63;AVENUE KENNEDY;ROUTE CAP FERRET;;33700;MERIGNAC;05 56 97 42 96;556970043;3;1;9
MONTAUBAN;74;700 AVENUE DE PARIS;ZI AUSSONNE;;82000;MONTAUBAN;05 63 03 44 58;563203855;3;1;1
AGEN BOE;76;LIEU DIT CAMBES;;;47550;BOE;05 53 96 44 77;553981098;3;1;1
ARTIGUES;78;AVENUE DU PEYROU;RN 89;;33370;ARTIGUES PRES BORDEAUX;05 56 74 21 24;556747758;3;1;3
ANGLET-PONTOTS;138;AVENUE JEAN LEON LAPORTE;CCIAL BAB 2;;64600;ANGLET;05 59 63 01 13;559310065;3;1;8
MARSAC SUR L ISLE;140;AVENUE LOUIS SUDER;CCIAL AUCHAN;ANGLE R DES PRAIRIES;24430;MARSAC SUR L ISLE;05 53 07 31 50;553545626;3;1;1
PORTET SUR GARONNE;158;18 AVENUE DES PALANQUES;CC CARREFOUR;;31120;PORTET SUR GARONNE;05 61 76 70 70;561724214;3;1;6
ALBI;163;ROUTE DE CARMAUX;;;81380;LESCURE D'ALBIGEOIS;05 63 60 67 70;563460459;3;1;3
PAU LESCAR;164;CCIAL LESCAR SOLEIL;;;64230;LESCAR;05 59 81 01 55;559270062;3;1;9
ST ALBAN;172;ROUTE DE PARIS;CCIAL DE L HEXAGONE;;31140;SAINT ALBAN;05 61 37 09 17;562752127;3;1;1
ANGOULEME LA COURONNE;176;CENTRE COMMERCIAL AUCHAN;TUILERIE DE CHANTE MERLE;;16400;LA COURONNE;05 45 67 28 56;545671763;3;1;3
MONT DE MARSAN;179;AVENUE DU MARECHAL JUIN;;;40000;MONT DE MARSAN;05 58 05 90 40;558062541;3;1;1
RODEZ (ONET LE CHATEAU);215;RD 988;A COTE GARAGE RENAULT;;12850;ONET LE CHATEAU;05 65 46 69 75;565787621;3;1;1
COLOMIERS;229;ZAC DU PERGET;7 RUE MARIE CURIE;;31770;COLOMIERS;05 34 26 32 60;561300385;3;1;3
BORDEAUX LE LAC;232;ZA ALIENOR D'AQUITAINE;;;33300;BORDEAUX LE LAC;05 56 50 68 82;556431138;3;1;1
CHANTEPIE;9;PARC DE LA PIERRE BLANCHE;C.COMMERCIAL ROCADE SUD;;35135;CHANTEPIE;02 99 41 58 59;299415805;3;1;9
