TYPE;N°;Ref Produit;Produit principal;Quantité;Min;Max;option_incluse;option_incluse_obligatoire;Afficher sur le site;Ordre;Lignes de produits visible;visible_sur_pdf;Prix d'achat dont ecotaxe
PRODUIT PRINCIPAL;1;1050922;oui;1;1;1;non;non;oui;10;oui;oui;308,38
PRODUIT PRINCIPAL;2;1095260;oui;1;1;1;non;non;oui;10;oui;oui;302,04
PRODUIT PRINCIPAL;3;1121913;oui;1;1;1;non;non;oui;10;oui;oui;318,73
PRODUIT PRINCIPAL;4;1079557;oui;1;1;1;non;non;oui;10;oui;oui;311,49
PRODUIT PRINCIPAL;5;1109228;oui;1;1;1;non;non;oui;10;oui;oui;314,8
PRODUIT PRINCIPAL;6;1073197;oui;1;1;1;non;non;oui;10;oui;oui;313,94
PRODUIT PRINCIPAL;7;1115529;oui;1;1;1;non;non;oui;10;oui;oui;314,23
PRODUIT PRINCIPAL;8;1109527;oui;1;1;1;non;non;oui;10;oui;oui;315,64
PRODUIT PRINCIPAL;9;1001046;oui;1;1;1;non;non;oui;10;oui;oui;315,57
PRODUIT PRINCIPAL;10;1105378;oui;1;1;1;non;non;oui;10;oui;oui;315,4
PRODUIT PRINCIPAL;11;1109230;oui;1;1;1;non;non;oui;10;oui;oui;329,85
PRODUIT PRINCIPAL;12;1094654;oui;1;1;1;non;non;oui;10;oui;oui;332,82
PRODUIT PRINCIPAL;13;1089687;oui;1;1;1;non;non;oui;10;oui;oui;340,99
PRODUIT PRINCIPAL;14;1089689;oui;1;1;1;non;non;oui;10;oui;oui;340,99
PRODUIT PRINCIPAL;15;1100862;oui;1;1;1;non;non;oui;10;oui;oui;350,76
PRODUIT PRINCIPAL;16;1091524;oui;1;1;1;non;non;oui;10;oui;oui;696,13
PRODUIT PRINCIPAL;17;1113690;oui;1;1;1;non;non;oui;10;oui;oui;733,5
PRODUIT PRINCIPAL;18;1127555;oui;1;1;1;non;non;oui;10;oui;oui;876,23
PRODUIT PRINCIPAL;19;1052486;oui;1;1;1;non;non;oui;10;oui;oui;1045,28
PRODUIT PRINCIPAL;20;1121187;oui;1;1;1;non;non;oui;10;oui;oui;4000,87
PRODUIT PRINCIPAL;21;1101212;oui;1;1;1;non;non;oui;10;oui;oui;309,88
PRODUIT PRINCIPAL;22;1121545;oui;1;1;1;non;non;oui;10;oui;oui;310,82
PRODUIT PRINCIPAL;23;1127601;oui;1;1;1;non;non;oui;10;oui;oui;308,32
PRODUIT PRINCIPAL;24;1121813;oui;1;1;1;non;non;oui;10;oui;oui;315,65
PRODUIT PRINCIPAL;25;1122551;oui;1;1;1;non;non;oui;10;oui;oui;320,61
PRODUIT PRINCIPAL;26;1127848;oui;1;1;1;non;non;oui;10;oui;oui;325,71
PRODUIT PRINCIPAL;27;1061014;oui;1;1;1;non;non;oui;10;oui;oui;328,89
PRODUIT PRINCIPAL;28;1127842;oui;1;1;1;non;non;oui;10;oui;oui;327,37
PRODUIT PRINCIPAL;29;1089688;oui;1;1;1;non;non;oui;10;oui;oui;340,99
PRODUIT PRINCIPAL;30;1071339;oui;1;1;1;non;non;oui;10;oui;oui;340,19
PRODUIT PRINCIPAL;31;1109174;oui;1;1;1;non;non;oui;10;oui;oui;354,7
PRODUIT PRINCIPAL;32;1127556;oui;1;1;1;non;non;oui;10;oui;oui;357,78
PRODUIT PRINCIPAL;33;1127646;oui;1;1;1;non;non;oui;10;oui;oui;403,39
PRODUIT PRINCIPAL;34;1127821;oui;1;1;1;non;non;oui;10;oui;oui;469,24
PRODUIT PRINCIPAL;35;8006503;oui;1;1;1;non;non;oui;10;oui;oui;499,16
PRODUIT PRINCIPAL;36;8006501;oui;1;1;1;non;non;oui;10;oui;oui;499,16
PRODUIT PRINCIPAL;37;8006502;oui;1;1;1;non;non;oui;10;oui;oui;499,16
PRODUIT PRINCIPAL;38;1111028;oui;1;1;1;non;non;oui;10;oui;oui;509,06
PRODUIT PRINCIPAL;39;1023882;oui;1;1;1;non;non;oui;10;oui;oui;513,95
PRODUIT PRINCIPAL;40;1127822;oui;1;1;1;non;non;oui;10;oui;oui;535,42
PRODUIT PRINCIPAL;41;1127474;oui;1;1;1;non;non;oui;10;oui;oui;542,97
PRODUIT PRINCIPAL;42;1100454;oui;1;1;1;non;non;oui;10;oui;oui;601,07
PRODUIT PRINCIPAL;43;1127628;oui;1;1;1;non;non;oui;10;oui;oui;597,81
PRODUIT PRINCIPAL;44;1086287;oui;1;1;1;non;non;oui;10;oui;oui;668,21
PRODUIT PRINCIPAL;45;1127126;oui;1;1;1;non;non;oui;10;oui;oui;650,03
PRODUIT PRINCIPAL;46;1122605;oui;1;1;1;non;non;oui;10;oui;oui;765,06
PRODUIT PRINCIPAL;47;1127069;oui;1;1;1;non;non;oui;10;oui;oui;802,43
PRODUIT PRINCIPAL;48;1090924;oui;1;1;1;non;non;oui;10;oui;oui;831,29
PRODUIT PRINCIPAL;49;1127466;oui;1;1;1;non;non;oui;10;oui;oui;831,78
PRODUIT PRINCIPAL;50;1125773;oui;1;1;1;non;non;oui;10;oui;oui;862,28
PRODUIT PRINCIPAL;51;1087309;oui;1;1;1;non;non;oui;10;oui;oui;954,06
PRODUIT PRINCIPAL;52;1127785;oui;1;1;1;non;non;oui;10;oui;oui;961,61
PRODUIT PRINCIPAL;53;1127789;oui;1;1;1;non;non;oui;10;oui;oui;1070,94
PRODUIT PRINCIPAL;54;1127805;oui;1;1;1;non;non;oui;10;oui;oui;1070,94
PRODUIT PRINCIPAL;55;1123038;oui;1;1;1;non;non;oui;10;oui;oui;1265,78
