Boulanger Waziers;Boulanger Waziers;Actif;ZAC du bas terroir (Face leroy merlin);Route de tournai ( D917);59119;Waziers;50.39244909520177;3.1109861830810814;Societe;347384570 ;34738457001993 ;Prospect;;;;;;F007;Ouvert
Boulanger Cambrai;Boulanger Cambrai;Actif;Chemin de Marcoing;;59400;Cambrai;50.14764029367109;3.2191868399505665;Societe;347384570 ;34738457001167 ;Prospect;;;;;;F010;Ouvert
Boulanger Lens - Vendin Le Vieil;Boulanger Lens - Vendin Le Vieil;Actif;Centre Commercial Vendin 2;Rue Louis Blériot;62880;Vendin Le Vieil;50.46517328327591;2.829860210418701;Societe;347384570 ;34738457000730 ;Prospect;;;;;;F012;Ouvert
Boulanger Roncq;Boulanger Roncq;Actif;Centre Commercial Auchan 400 Rue de Roncq;;59200;Tourcoing;50.7386322654377;3.139498710632324;Societe;347384570 ;34738457001092 ;Prospect;;;;;;F015;Ouvert
Boulanger Valenciennes - Petite Foret;Boulanger Valenciennes - Petite Foret;Actif;Centre Commercial Auchan;;59494;Petite Foret;50.380551215205095;3.4773584179687305;Societe;347384570 ;34738457001498 ;Prospect;;;;;;F017;Ouvert
Boulanger Grande-Synthe;Boulanger Grande-Synthe;Actif;Centre Commercial Auchan Flandres Littoral;Route de Spycker;59760;Grande Synthe;51.00710420607305;2.2831931114196777;Societe;347384570 ;34738457001696 ;Prospect;;;;;;F018;Ouvert
Boulanger Saint Martin Boulogne;Boulanger Saint Martin Boulogne;Actif;Centre Commercial Auchan R.N. 42;;62200;St Martin Boulogne;50.73294473428918;1.669748100880497;Societe;347384570 ;34738457000888 ;Prospect;;;;;;F019;Ouvert
Boulanger Noyelles-Godault;Boulanger Noyelles-Godault;Actif;Centre Commercial Auchan R.N. 43;;62950;Noyelles-Godault;50.40902253671121;2.9794454167022195;Societe;347384570 ;34738457001126 ;Prospect;;;;;;F020;Ouvert
Boulanger Englos;Boulanger Englos;Actif;Centre Commercial Englos;;59320;Sequedin;50.62703724500506;2.9691720104980277;Societe;347384570 ;34738457000821 ;Prospect;;;;;;F022;Ouvert
Boulanger Bethune;Boulanger Bethune;Actif;Centre Commercial Auchan;rue de la rotonde;62400;Bethune;50.52453619374388;2.629115885505712;Societe;347384570 ;34738457000102 ;Prospect;;;;;;F023;Ouvert
Boulanger Compiegne;Boulanger Compiegne;Actif;Centre Commercial de Jaux Venette 63 rue des Métiers;;60880;Jaux;49.4053955078125;2.78392791748047;Societe;347384570 ;34738457001308 ;Prospect;;;;;;F030;Ouvert
Boulanger Villeneuve D'Ascq (V2);Boulanger Villeneuve D'Ascq (V2);Actif;1 avenue de l'avenir;;59650;Villeneuve D Ascq;50.61715388113099;3.1242266047546536;Societe;347384570 ;34738457000573 ;Prospect;;;;;;F031;Ouvert
Boulanger Leers;Boulanger Leers;Actif;1 avenue de l'Europe;Centre Commercial Auchan;59115;Leers;50.68200399845642;3.222973030688536;Societe;347384570 ;34738457000326 ;Prospect;;;;;;F033;Ouvert
Boulanger St Quentin;Boulanger St Quentin;Actif;Parc d'activité commercial RN 29;;2100;Fayet;49.867919921875;3.25126647949219;Societe;347384570 ;34738457001399 ;Prospect;;;;;;F034;Ouvert
Boulanger Amiens;Boulanger Amiens;Actif;29 avenue de Grèce;Centre Commercial Vallée des vignes;80090;Amiens;49.86713669596437;2.280683994293213;Societe;347384570 ;34738457000649 ;Prospect;;;;;;F035;Ouvert
Boulanger St Omer;Boulanger St Omer;Actif;Avenue des frais fonds;;62510;Arques;50.73252433024374;2.2756010611296915;Societe;347384570 ;34738457001548 ;Prospect;;;;;;F040;Ouvert
Boulanger Faches -Thumesnil;Boulanger Faches -Thumesnil;Actif;Centre Commercial Auchan Faches;Rue de l'Egalité;59155;Faches-Thumesnil;50.585133167598464;3.0861533646526595;Societe;347384570 ;34738457001514 ;Prospect;;;;;;F041;Ouvert
Boulanger Paris Beaugrenelle;Boulanger Paris Beaugrenelle;Actif;Angle rue St Charles / Avenue Émile Zola;;75015;Paris;48.84638171788407;2.285049606151574;Societe;347384570 ;34738457002066 ;Prospect;;;;;;F100;Ouvert
Boulanger Tarbes;Boulanger Tarbes;Actif;Zone commerciale du Méridien;;65420;Ibos;43.237555249832425;0.018793781875615423;Societe;347384570 ;34738457002272 ;Prospect;;;;;;F102;Ouvert
Boulanger Sarcelles;Boulanger Sarcelles;Actif;Centre Commercial MY PLACE Avenue de la division Leclerc;;95200;Sarcelles;48.98631329322679;2.3754820823669433;Societe;347384570 ;34738457001779 ;Prospect;;;;;;F106;Ouvert
Boulanger Claye Souilly;Boulanger Claye Souilly;Actif;ZA Les Sablons - Rue Jean Monnet;Derrière CASTORAMA;77410;Claye Souilly;48.94899974710526;2.663334846496582;Societe;347384570 ;34738457001191 ;Prospect;;;;;;F109;Ouvert
Boulanger Thiais;Boulanger Thiais;Actif;39 rue de la résistance;;94320;Thiais;48.75732421875;2.38792419433594;Societe;347384570 ;34738457001415 ;Prospect;;;;;;F114;Ouvert
Boulanger Villiers Sur Marne;Boulanger Villiers Sur Marne;Actif;1 bis, boulevard Jean Monnet;ZAC des Portes de Villiers;94350;Villiers Sur Marne;48.83503497755948;2.542383356414007;Societe;347384570 ;34738457001423 ;Prospect;;;;;;F115;Ouvert
Boulanger Montevrain;Boulanger Montevrain;Actif;Le Clos du Chêne, Avenue de la ferme Briarde;;77144;Montevrain;48.85603175439986;2.7547988891601562;Societe;347384570 ;34738457001431 ;Prospect;;;;;;F116;Ouvert
Boulanger Creteil;Boulanger Creteil;Actif;97 Avenue du Maréchal Foch;Carrefour Pompadour;94000;Creteil;48.7801513671875;2.43766021728516;Societe;347384570 ;34738457001456 ;Prospect;;;;;;F117;Ouvert
Boulanger Saint-Doulchard;Boulanger Saint-Doulchard;Actif;1185 Route d'Orléans;;18230;Saint-Doulchard;47.11530898725813;2.374630331993103;Societe;347384570 ;34738457001605 ;Prospect;;;;;;F118;Ouvert
Boulanger Coignieres;Boulanger Coignieres;Actif;Centre Commercial Les portes de Chevreuse;RN 10;78310;Coignieres;48.75300133221845;1.9323757117614377;Societe;347384570 ;34738457001555 ;Prospect;;;;;;F119;Ouvert
Boulanger Paris Opera;Boulanger Paris Opera;Actif;30 boulevard des capucines;;75009;Paris;48.87018417997149;2.328103951520575;Societe;347384570 ;34738457001969 ;Prospect;;;;;;F120;Ouvert
Boulanger Paris Rosa Parks;Boulanger Paris Rosa Parks;Actif;179 Boulevard MacDonald;;75019;Paris;48.89837567489148;2.376401076057391;Societe;347384570 ;34738457001712 ;Prospect;;;;;;F121;Ouvert
Boulanger Reims - Thillois;Boulanger Reims - Thillois;Actif;ZAC de Thillois Nord;(face IKEA);51370;Thillois;49.25602978411356;3.969275175376879;Societe;347384570 ;34738457001795 ;Prospect;;;;;;F122;Ouvert
Boulanger Marseille - La Valentine;Boulanger Marseille - La Valentine;Actif;117 Centre Commercial Grand V - traverse de la Montre;;13011;Marseille;43.2952880859375;5.47575378417969;Societe;392327607 ;39232760700116 ;Prospect;;;;;;F123;Ouvert
Boulanger Vitrolles - Grand Vitrolles;Boulanger Vitrolles - Grand Vitrolles;Actif;RN 113;Centre Cial Grand Vitrolles Quartier du Griffon;13127;Vitrolles;43.43135741417175;5.261839866638184;Societe;392327607 ;39232760700041 ;Prospect;;;;;;F126;Ouvert
