Référence;Désignation;Etat;Commentaire;Prix d'achat dont ecotaxe;EcoTaxe;Eco Mobilier;Type;Fournisseur;Fabriquant;Catégorie;Sous Catégorie;Loyer;Durée;Visible sur le site;Description
Essmens;Essentiel;actif;Essentiel mensuel;0;0;0;Sans objet;Boulanger;Boulanger;INFORMATIQUE;DIVERS;3,5;12;Non;Essentiel
Essannu;Essentiel;actif;Essentiel annuel;0;0;0;Sans objet;Boulanger;Boulanger;INFORMATIQUE;DIVERS;39,99;1;Non;Essentiel
Esscomp;Essentiel;actif;Essentiel comptant;0;0;0;Sans objet;Boulanger;Boulanger;INFORMATIQUE;DIVERS;39,99;1;Non;Essentiel
Stamens;Standard;actif;Standard mensuel;0;0;0;Sans objet;Boulanger;Boulanger;INFORMATIQUE;DIVERS;7,5;12;Non;Standard
Staannu;Standard;actif;Standard annuel;0;0;0;Sans objet;Boulanger;Boulanger;INFORMATIQUE;DIVERS;89,99;1;Non;Standard
StaComp;Standard;actif;Standard comptant;0;0;0;Sans objet;Boulanger;Boulanger;INFORMATIQUE;DIVERS;89,99;1;Non;Standard
Premens;Premium;actif;Premium mensuel;0;0;0;Sans objet;Boulanger;Boulanger;INFORMATIQUE;DIVERS;9,9;12;Non;Premium
Preannu;Premium;actif;Premium annuel;0;0;0;Sans objet;Boulanger;Boulanger;INFORMATIQUE;DIVERS;119,9;1;Non;Premium
Precompt;Premium;actif;Premium comptant;0;0;0;Sans objet;Boulanger;Boulanger;INFORMATIQUE;DIVERS;119,9;1;Non;Premium
NSSMens;Norton Security standard;actif;Norton Security standard 10 appareils mensuel;0;0;0;Immatériel;Boulanger;NORTON;INFORMATIQUE;ANTIVIRUS;0;12;Oui;<b>Norton Security standard :</b><br><br><ul><li>Pare-feu</li><li>Sécurité contre virus et malwares</li><li>Mise à jour automatique</li></ul>
NSSAnnu;Norton Security standard;actif;Norton Security standard 10 appareils annuel;0;0;0;Immatériel;Boulanger;NORTON;INFORMATIQUE;ANTIVIRUS;0;1;Oui;<b>Norton Security standard :</b><br><br><ul><li>Pare-feu</li><li>Sécurité contre virus et malwares</li><li>Mise à jour automatique</li></ul>
