"id_societe";"societe";"tel";"ville";"nom_commercial";"code_groupe";"code_client";"code_regroupement";"siret";"date_creation";"relation";"id_owner";"id_campagne";"id_fournisseur";"naf";"activite";"ref";"joignable";"date";"id_assistante";"id_pays";"id_famille";"siren";"avis_credit";"cs_avis_credit";"score";"cs_score";"contentieux";"adresse";"adresse_2";"adresse_3";"cp";"id_contact_facturation";"facturation_id_pays";"facturation_adresse";"facturation_cp";"facturation_ville";"reference_tva";"tva";"latitude";"longitude";"fax";"email";"web";"etat";"nb_employe";"effectif";"id_secteur_geographique";"id_contact_commercial";"id_apporteur";"ca";"id_devise";"structure";"capital";"facturer_le_siege";"fournisseur";"partenaire";"code_client_partenaire";"divers_2";"id_prospection";"id_contact_signataire";"IBAN";"BIC";"nom_banque";"ville_banque";"lastaccountdate";"receivables";"securitieandcash";"operatingincome";"netturnover";"operationgprofitless";"financialincome";"financialcharges";"RUM"
260;"ATELIER D ORAZIO RONCHIN";;"RONCHIN";;;;;;"2011-02-08";"suspect";"Matthieu COSSIAUX";;;;;;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"8 rue Jules Verne";;;59790;"";"France";;;;;1,2;50,6105;3,10895;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
261;"ATOUT AMBULANCES LA GORGUE";;"LA GORGUE";;;;;;"2010-04-20";"suspect";"Matthieu COSSIAUX";;;;;;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"91 RUE DU GENERAL DE GAULLE";;;59253;"";"France";;;;;1,2;50,6411;2,72224;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
262;"BARBE GERARD BEUVRAGES";;"BEUVRAGES";;;;;;"2007-08-07";"suspect";"Matthieu COSSIAUX";;;;"Particulier";;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"16 Rue de Stockholm";;;59192;"";"France";;;;;1,2;50,3774;3,50919;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
263;"BGR CARAIBES / MARTINIQUE DEMENAGEMENTS FORT DE FRANCE";;"FORT DE FRANCE";;;;;;"2012-02-17";"suspect";"Matthieu COSSIAUX";;;;;;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"Chez BGR CARAIBES";"14, route de Cluny";;97200;"";"France";;;;;1,2;-1;-1;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
264;"BTP RMS LA CHAPELLE D ARMENTIERES";;"LA CHAPELLE D ARMENTIERES";;;;;;"2011-01-27";"suspect";"Matthieu COSSIAUX";;;;;;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"36 rue Léon Blum";;;59930;"";"France";;;;;1,2;50,6758;2,89123;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
265;"CAROSSERIE LAVOISIER / UNIVERSAL SERVICE LA MADELEINE";;"LA MADELEINE";;;;;;"2013-05-15";"client";"Matthieu COSSIAUX";"Fiche a modifier";;;;;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"2 RUE LAVOISIER";;;59110;"";"France";;;;;1,2;50,6635;3,06667;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
267;"CLINIQUE VETERINAIRE DR ROBILLARD CONDE SUR L ESCAUT";;"CONDE SUR L ESCAUT";"CLINIQUE VETERINAIRE DR ROBILLARD CONDE SUR L ESCAUT";;;;;"1995-12-22";"client";"Matthieu COSSIAUX";"Fiche a modifier";;;"Clinique vétérinaire";;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"3 Rue Marcel Maes";;;59163;"";"France";;;;;1,2;50,4473;3,5908;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
269;"CLINIQUE VETERINAIRE LIMPENS-DERREUMAUX FOURMIES";;"FOURMIES";;;;;;"1994-12-06";"suspect";"Matthieu COSSIAUX";;;;"Clinique Vétérinaire";;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"25 Rue des Rousseaux";;;59610;"";"France";;;;;1,2;50,0146;4,04286;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
271;"CLTN TELECOM ET RESEAUX TEMPLEMARS";;"TEMPLEMARS";;;;;;"2010-12-20";"suspect";"Matthieu COSSIAUX";;;;;;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"15 RUE DU PLOUVIER";;;59175;"";"France";;;;;1,2;-1;-1;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
272;"DESCAMPS ARNAUD CHARLES WAVRIN";;"WAVRIN";;;;;;"2010-11-25";"suspect";"Matthieu COSSIAUX";;;;;;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"2 CHEMIN DU HALAGE";;;59136;"";"France";;;;;1,2;-1;-1;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
273;"DOCTEUR AUPETIT HELLEMMES";;"HELLEMMES";"DOCTEUR AUPETIT HELLEMMES";;;;;"2008-01-15";"suspect";"Matthieu COSSIAUX";;;;"Chirurgien Dentiste";;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"166 Rue Roger Salengro";;;59260;"";"France";;;;;1,2;50,627;3,10835;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
274;"DOCTEUR CAROLINE MEAUX BOIS GRENIER";;"BOIS GRENIER";"DOCTEUR CAROLINE MEAUX BOIS GRENIER";;;;;"2010-02-03";"suspect";"Matthieu COSSIAUX";;;;"Chirurgien dentiste";;"tous";"2014-03-13 15:52:43";"";"France";"Entreprise";;"NC";;"NC";0;;"45 Rue Chapelle d'Armentières";;;59280;"";"France";;;;;1,2;50,6498;2,87439;;;;"actif";;;;"";;;"Euro";;0;;"non";"non";;"prelevement";"";"";;;;;;;;;;;;;
