"SIRET";"NOM";"site web";"campagne";"contact1";"contact2";"contact3";"suivi1"
"33518383600022";"LPG systems";"https://www.lpgmedical.com/fr/espace-professionnel/huber/?gclid=EAIaIQobChMI2KCG9q6r5wIVhYjVCh2OKw2BEAAYASAAEgKcDfD_BwE";"Santé GUY";"https://www.linkedin.com/in/jack-guillermin-93205389/";"https://www.linkedin.com/in/eric-jardin-907065145/";"https://www.linkedin.com/in/s%C3%A9verine-venedy-918603132/";
81184724300011;"Philips healthcare";"https://www.philips.fr/healthcare/product/HC860343/st80i-systme-dpreuve-deffort-systme-dpreuve-deffort";"Santé GUY";;;;
31501335900155;"GE Medical Systems";" ";"Santé GUY";;;;
30321512300082;"GE Healthcare";"https://www.gehealthcare.fr/products/diagnostic-cardiology";"Santé GUY";;;;
39255719500055;"Welch Allyn France";" ";"Santé GUY";;;;
43976965400054;"Essilor Internationnal";"https://www.essilor-instruments.com";"Santé GUY";;;;
79017695200014;"Coveto Limoges";"http://www.coveto.fr/chapitre-laboratoire-prelevements-11.html?PPAGE=20&PAGE=2";"Santé GUY";;;;
33436749700107;"Samsung Electronics France";"https://samsunghealthcare.com/fr/about_us/samsung_healthcare";"Santé GUY";;;;
42011551100032;"Médical Grand ouest";;"Santé GUY";;;;
48102063400038;"YLEA Entreprise";;"Santé GUY";;;;
39804335600086;"Abbott Medical France";;"Santé GUY";;;;
62203446000072;"Drive DeVilbiss Healthcare France";"http://www.drivedevilbiss.fr/index.php/produits/cat1/le-diagnostic/cat2/id-650-ecg/items/electrocardiographe-cardi-6.html";"Santé GUY";;;;
50191884100013;"Schiller France";;"Santé GUY";;;;
43808948400036;"Société REALME";;"Santé GUY";;;;
79343537100042;"E-LAB";"https://www.girodmedical.com/materiel-de-diagnostic/ecg-1/holter.html";"Santé GUY";;;;
42948750700023;"Edwards Lifesciences SAS";"https://www.edwards.com/gb/devices/hemodynamic-monitoring";"Santé GUY";;;;
57715084000137;"Smith et Nephew SAS";"https://www.smith-nephew.com/key-products/sports-medicine/werewolfsntm-coblationsntm/";"Santé GUY";;;;
83715036600222;"Horiba France SAS";" ";"Santé GUY";;;;
42024817100035;"Scil Animal Care Company France";"http://www.scilvet.com";"Santé GUY";;;;
38086578200052;"Idexx ";"https://www.idexx.fr/fr/";"Santé GUY";;;;
34897103700034;"Nova Biomedical France";" ";"Santé GUY";;;;
38263265100016;"Randox laboratories Limited";"https://www.randox.com/rx-misano-overview/";"Santé GUY";;;;
42996300200010;"Sysmex France";"https://www.sysmex.fr/produits.html";"Santé GUY";;;;
42402292900030;"Mano Médical";"https://www.manomedical.com/fr/diagnostic-laboratoire/pointcare-v2-analyseur-de-biochimie";"Santé GUY";;;;
48158564400034;"Dechra Veterinary Products SAS";;"Santé GUY";;;;
83052002900018;"Acteon Distribution";;"Santé GUY";;;;
31006927300020;"Richard Wolf France";;"Santé GUY";;;;
38085631000053;"SISSEL France";;"Santé GUY";;;;
52449132100047;"Axone ";"http://www.axone-med.com/mls/459-laser-asa-mphi.html";"Santé GUY";;;;
51529863600074;"SWIMS ";"https://www.swims.store/fr/10323-electrotherapie?page=2";"Santé GUY";;;;
31520256400193;"Zimmer Biomet France (Zfx)";"https://www.zimmer-biomet.fr";"Santé GUY";;;;
43458127800067;"Align Technology";"https://www.aligntech.com/solutions/itero_scanner";"Santé GUY";;;;
83112247800017;"Carestream Dental France SAS";"https://www.carestreamdental.com/en-gb";"Santé GUY";;;;
33143283100096;"Dentsply sirona France";"https://www.dentsplysirona.com/fr-fr/decouvrez-nos-produits/impression-numerique.html";"Santé GUY";;;;
48435676100029;"Multiservice Dentaire";;"Santé GUY";;;;
31692031300210;"Mecalux France";"https://www.logismarket.fr/delta-technologie/usineuse-dentaire-2/4619137158-p.html";"Santé GUY";" ";;;
79804412900012;"HELLOPRO";"https://www.hellopro.fr/scanner-3d-intra-oral-dentaire-shining-3d-2015678-5760259-produit.html";"Santé GUY";;;;
79404747200012;"3D Dental Store";"https://3ddentalstore.fr/scanner-medit-i500/";"Santé GUY";;;;
50220627900023;"3D Avenir";"https://www.lecomptoir3d.com/54-machines";"Santé GUY";;;;
34184715000073;"Nobel Biocare France";"https://www.nobelbiocare.com/fr/fr/home/products-and-solutions/treatment-concepts/digital-treatment-planning.html";"Santé GUY";;;;
48158189000037;"Supersonic Imagine";;"Santé GUY";;;;
