Référence;Désignation;Sous catégorie;Fabriquant ;commentaire ;Prix d'achat;Fournisseur
42094;Bétonnière électrique B180 P pour ciment cuve 160 L mono 230 V P 800 W;MATERIEL DE CHANTIER MECANIQUE;ALTRAD SAINT DENIS;ref fabAL16FS1EA;410;LA PLATEFORME DU BÂTIMENT SIEGE
77687;Bétonnière NP 350 Electrique 2CV;MATERIEL DE CHANTIER MECANIQUE;ALTRAD SAINT DENIS;ref fabNP35L2E01;1599;LA PLATEFORME DU BÂTIMENT SIEGE
48429;Bétonnière électrique NP200 180 L moteur 230 V/50 Hz 25 tours/mn roue Ø 250 mm 90 kg;MATERIEL DE CHANTIER MECANIQUE;ALTRAD SAINT DENIS;ref fab337900P;666,74;LA PLATEFORME DU BÂTIMENT SIEGE
110725;Diable professionnel multitaches;MATERIEL DE CHANTIER MECANIQUE;ALTRAD SAINT DENIS;ref fabAKXL250I;59,9;LA PLATEFORME DU BÂTIMENT SIEGE
43266;Treuil éléctrique 200 kg 25 mètre + potence;MATERIEL DE CHANTIER MECANIQUE;ALTRAD SAINT DENIS;ref fab701200;769;LA PLATEFORME DU BÂTIMENT SIEGE
146191;Brouette Major galva 100L roue increvable Réf. A4361MP3601;MATERIEL DE CHANTIER MECANIQUE;ALTRAD SAINT DENIS;ref fabA4361MP3601;59,9;LA PLATEFORME DU BÂTIMENT SIEGE
92078;CHAINE ELAGUEUSE 30CM;OEP FILAIRE;ALTRAD SAINT DENIS;ref fabAT100001;21,9;LA PLATEFORME DU BÂTIMENT SIEGE
42092;Bac a mortier;OUTILLAGE MANUEL HORS HILTI;ALTRAD SAINT DENIS;ref fabBM090L;136;LA PLATEFORME DU BÂTIMENT SIEGE
128455;Code HPV - ASM ADIS;CONSOMMABLES OEP;ASM ADIS 95;ref fab;9999,99;LA PLATEFORME DU BÂTIMENT SIEGE
100312;Affûtage lame carbure de tungstène 72 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102272;29,3;LA PLATEFORME DU BÂTIMENT SIEGE
112235;Affûtage lame carbure de tungstène 40 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102140;23,1;LA PLATEFORME DU BÂTIMENT SIEGE
112233;Affûtage lame carbure de tungstène 34 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102134;21,4;LA PLATEFORME DU BÂTIMENT SIEGE
100314;Affûtage lame carbure de tungstène 96 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102296;35,1;LA PLATEFORME DU BÂTIMENT SIEGE
98284;Affûtage lame carbure à gouge 60 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102560;25,6;LA PLATEFORME DU BÂTIMENT SIEGE
100313;Affûtage lame carbure de tungstène 80 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102280;33,1;LA PLATEFORME DU BÂTIMENT SIEGE
100307;Affûtage lame carbure de tungstène 20 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102020;19,2;LA PLATEFORME DU BÂTIMENT SIEGE
98285;Repastillage lame carbure de tungstène;CONSOMMABLES OEP;ASM ADIS 95;ref fab2001;24,5;LA PLATEFORME DU BÂTIMENT SIEGE
100306;Affûtage lame carbure de tungstène 12 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102012;16,2;LA PLATEFORME DU BÂTIMENT SIEGE
