N° Client,Nom Client,Date facture,Date d'échéance,Echu/Non échu,Libellé Facture non réglée,Facturé TTC,Règlement/Avoir ,Action,Date de régularisation,Motif rejet ,COMMENTAIRE,,
013701,OPTIQUE EDELIN,5/1/2020,6/3/2020,ECHU,1702058-39-013701,180.00,180.00,suppression facture,,,Fact intermédiaire,,
025801,OPTIQUE LACROIX ET FILS,5/1/2020,6/3/2020,ECHU,1611088-38-025801,360.00,360.00,suppression facture,,,Fact intermédiaire,,
077101,ATOL - MOLLIERE OPTIC,6/1/2020,6/1/2020,ECHU,1702094-38-077101,180.00,180.00,avoir,,,,,
084201,ATOL - DAUSQUE OPTIQUE,5/1/2020,5/1/2020,ECHU,1707044-30-084201,180.00,180.00,Mail fait au client - 06/05,,SUR ORDRE,,,
089701,ATOL - OPTIQUE CELEYRON,6/1/2020,6/1/2020,ECHU,1704016-38-089701,180.00,180.00,,6/30/2020,,,,
204901,ATOL - OPTIQUE LEROYER,6/1/2020,6/1/2020,ECHU,1702010-39-204901,180.00,180.00,Avoir,,,,,
205001,ATOL - OPTIQUE YANNICK LEROYER,6/1/2020,6/1/2020,ECHU,1702011-38-205001,180.00,180.00,avoir,,,,,
205001,ATOL - OPTIQUE YANNICK LEROYER,6/3/2020,6/3/2020,ECHU,1702011-4-LI-205001,178.80,0.00,Point commercial en cours avec Térence et Alison,,,,,
205002,OPTIQUE YANNICK LEROYER,6/3/2020,6/3/2020,ECHU,1702013-4-LI-205002,276.60,0.00,Point commercial en cours avec Térence et Alison,,,Fact intermédiaire,,
205002,ATOL - OPTIQUE YANNICK LEROYER,6/1/2020,6/1/2020,ECHU,1702013-38-205002,180.00,180.00,,,,,,
205003,ATOL - OPTIQUE YANNICK LEROYER,6/1/2020,6/1/2020,ECHU,1703054-38-205003,180.00,180.00,AVOIR,,,,,
205601,ATOL - G.B.O.S.,6/1/2020,6/1/2020,ECHU,1611103-39-205601,180.00,0.00,Relance le 03/04 - client demande geste commercial - transmis à Térence // accord Térence pour arrêt au 01/07 donc facture de juin dûe // info transmise par un nouvel appel à la cliente + mail toujours le 03/07,,SUR ORDRE,,,
207201,ATOL - OPTIQUE BESSON,6/1/2020,6/1/2020,ECHU,1612056-38-207201,180.00,180.00,avoir,,,,,
207202,OPTIQUE BESSON,5/1/2020,6/3/2020,ECHU,1612057-38-207202,180.00,180.00,,6/30/2020,,Fact intermédiaire,,
207203,OPTIQUE BESSON,5/1/2020,6/3/2020,ECHU,1612054-38-207203,180.00,180.00,,6/30/2020,,Fact intermédiaire,,
216001,ATOL - MARTHU,6/1/2020,6/1/2020,ECHU,1702014-38-216001,180.00,0.00,En cours avec Christophe et Térence,,,,,
216002,ATOL - MARTHU,6/1/2020,6/1/2020,ECHU,1703050-38-216002,180.00,0.00,En cours avec Christophe et Térence,,,,,
216402,OPTIQUE ECHEGUT,3/26/2020,3/26/2020,ECHU,1911098-2-LI-216402,60.00,60.00,,,,,,
216402,OPTIQUE ECHEGUT,5/1/2020,5/1/2020,ECHU,1911098-3-216402,60.00,60.00,AVOIR EMIS LE 26/03,,,,,
216402,OPTIQUE ECHEGUT,6/1/2020,6/1/2020,ECHU,1911098-4-216402,60.00,60.00,,,,,,
216403,OPTIQUE ECHEGUT,6/1/2020,6/1/2020,ECHU,1612010-41-216403,180.00,180.00,,,,,,
216403,OPTIQUE ECHEGUT,6/3/2020,6/3/2020,ECHU,1612010-5-LI-216403,358.80,358.80,Facture de restitution,7/3/2020,,Fact intermédiaire,,
216501,OPTIQUE BRIOLLE,5/1/2020,6/3/2020,ECHU,1701075-38-216501,180.00,180.00,,avoir,,Fact intermédiaire,,
220201,DES GLENAN,5/1/2020,6/3/2020,ECHU,1702018-39-220201,180.00,180.00,suppression facture,,,Fact intermédiaire,,
220202,DES GLENAN,5/1/2020,6/3/2020,ECHU,1702019-39-220202,180.00,180.00,suppression facture,,,Fact intermédiaire,,
220801,ATOL - THIERS OPTIQUE,6/1/2020,6/1/2020,ECHU,1612066-41-220801,180.00,180.00,,6/30/2020,,,,
223701,DLG OPTIQUE,5/1/2020,6/3/2020,ECHU,1611102-39-223701,180.00,180.00,,7/1/2020,,Fact intermédiaire,,
242201,ATOL - OUISTREHAM LEROYER,6/1/2020,6/1/2020,ECHU,1703051-39-242201,180.00,180.00,,,,,,
242202,ATOL - OUISTREHAM LEROYER,6/3/2020,6/3/2020,ECHU,1703052-5-LI-242202,276.60,0.00,Point commercial en cours avec Térence et Alison,,,Fact intermédiaire,,
242202,ATOL - OUISTREHAM LEROYER,6/1/2020,6/1/2020,ECHU,1703052-39-242202,180.00,180.00,,,,,,
256701,37 DIXIEMES,5/1/2020,6/3/2020,ECHU,1703002-38-256701,180.00,180.00,avoir,,,Fact intermédiaire,,
