ref;fournisseur;site_associe;designation;Prix achat dont ecotaxe;loyer;description;url_image
10075SEP;HEXAMED MATERIEL MEDICAL;hexamed;Jeu de 10 adaptateurs pour électrodes ECG à bouton pression;29,08;0,77;"<div style=""font:normal normal normal 12px/1.5em 'Lucida Grande', Helvetica, Arial, sans-serif;height:94%;padding:0px;margin:0px;"">
<p>Jeu d'<strong>adaptateurs pour électrodes à bouton pression</strong> + <strong>fiche femelle de 4 mm pour fiches bananes</strong>.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Conditionnement :</span> 1 lot de 10 adaptateurs.</p>
</div>";https://www.hexamed-leasing.fr/13219-home_default/jeu-de-10-adaptateurs-pour-electrodes-ecg-a-bouton-pression.jpg
10076SEP;HEXAMED MATERIEL MEDICAL;hexamed;Jeu de 4 pinces membres plastique couleur pour ECG;24,17;0,67;"<div style=""font: normal normal normal 12px/1.5em 'Lucida Grande', Helvetica, Arial, sans-serif; background-image: initial !important; background-attachment: initial !important; background-origin: initial !important; background-clip: initial !important; height: 94% !important; padding: 0px !important; margin: 0px !important;"">
<p><strong>Pinces membres 4 couleurs avec électrode métallique </strong>pour ECG.</p>
<p> </p>
<p><span style=""text-decoration: underline;"">Conditionnement :</span> 1 lot de 4 pinces.</p>
</div>";https://www.hexamed-leasing.fr/13218-home_default/jeu-de-4-pinces-membres-plastique-couleur-pour-ecg.jpg
10081SEP;HEXAMED MATERIEL MEDICAL;hexamed;Jeu de 10 pinces adaptatrices pour électrode ECG pression ou languette;24,92;0,68;"<div style=""font:normal normal normal 12px/1.5em 'Lucida Grande', Helvetica, Arial, sans-serif;height:94%;padding:0px;margin:0px;"">
<p><strong>Pinces adaptatrices double connexion, pour électrodes à pression ou languette</strong> + <strong>fiche femelle 4 mm</strong>.</p>
<p><span style=""text-decoration:underline;""><br /></span></p>
<p><span style=""text-decoration:underline;"">Conditionnement :</span> 1 lot de 10 pinces.</p>
<p> </p>
<p><span style=""color:#ff0000;""><em>Attention, ces pinces ne sont pas compatibles avec l'ECG Edan SE300B (3 pistes).</em></span></p>
<p><span style=""color:#ff0000;""> </span></p>
</div>";https://www.hexamed-leasing.fr/18406-home_default/jeu-de-10-pinces-adaptatrices-pour-electrode-ecg-pression-ou-languette.jpg
10098SEP90020SEP;HEXAMED MATERIEL MEDICAL;hexamed;Jeu de 6 poires précordiales (diam.15, 24 et 30 mm) pour ECG - 24 mm;24,75;0,68;"<div style=""font:normal normal normal 12px/1.5em 'Lucida Grande', Helvetica, Arial, sans-serif;height:94%;padding:0px;margin:0px;"">
<p><strong>Jeu de 6 poires précordiales à base métallique</strong>.</p>
<p>Plusieurs diamètres des bases métalliques disponibles.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Modèles au choix :</span></p>
<p>- 10099SEP : diamètre base 15 mm</p>
<p>- 10098SEP : diamètre base 24 mm</p>
<p>- 10100SEP : diamètre base 30 mm</p>
</div>";https://www.hexamed-leasing.fr/13217-home_default/jeu-de-6-poires-precordiales-diam-15-24-et-30mm-pour-ecg.jpg
10099SEP90020SEP;HEXAMED MATERIEL MEDICAL;hexamed;Jeu de 6 poires précordiales (diam.15, 24 et 30 mm) pour ECG - 15 mm;24,75;0,68;"<div style=""font:normal normal normal 12px/1.5em 'Lucida Grande', Helvetica, Arial, sans-serif;height:94%;padding:0px;margin:0px;"">
<p><strong>Jeu de 6 poires précordiales à base métallique</strong>.</p>
<p>Plusieurs diamètres des bases métalliques disponibles.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Modèles au choix :</span></p>
<p>- 10099SEP : diamètre base 15 mm</p>
<p>- 10098SEP : diamètre base 24 mm</p>
<p>- 10100SEP : diamètre base 30 mm</p>
</div>";https://www.hexamed-leasing.fr/13217-home_default/jeu-de-6-poires-precordiales-diam-15-24-et-30mm-pour-ecg.jpg
10100SEP90020SEP;HEXAMED MATERIEL MEDICAL;hexamed;Jeu de 6 poires précordiales (diam.15, 24 et 30 mm) pour ECG - 30 mm;24,75;0,68;"<div style=""font:normal normal normal 12px/1.5em 'Lucida Grande', Helvetica, Arial, sans-serif;height:94%;padding:0px;margin:0px;"">
<p><strong>Jeu de 6 poires précordiales à base métallique</strong>.</p>
<p>Plusieurs diamètres des bases métalliques disponibles.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Modèles au choix :</span></p>
<p>- 10099SEP : diamètre base 15 mm</p>
<p>- 10098SEP : diamètre base 24 mm</p>
<p>- 10100SEP : diamètre base 30 mm</p>
</div>";https://www.hexamed-leasing.fr/13217-home_default/jeu-de-6-poires-precordiales-diam-15-24-et-30mm-pour-ecg.jpg
10129IZC;HEXAMED MATERIEL MEDICAL;hexamed;Négatoscope numérique Dgscope A22 avec logiciel Giol;9991,67;197,27;"<p>Dgscope A22 est  une station de visualisation DICOM et un terminal de réseau spécialement conçu pour une utilisation dans le milieu médical et plus particulièrement le bloc opératoire.</p>
<p>Il permet une visualisation rapide et complète des images au format DICOM depuis un CD, DVD, clé USB ou un serveur distant grâce à un logiciel simple d'utilisation, intuitif et performant.</p>
<p>Plus de clavier, plus de souris, cette station est munie d'un écran tactile et obéi au doigt de l'utilisateur.</p>
<p>De plus, le Dgscope est spécialement étudié pour réduire le risque de transmission bactériologique (sans ventilation mécanique) et être aseptisé rapidement et facilement.</p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>Principaux avantages :</strong></span></p>
<p>- Tout intégré, clavier virtuel, écran tactile pouvant gérer toutes les fonctionnalités d'une souris (click droit,  click gauche et scroll) : plus de clavier ou de souris (possibilité, selon l'ergonomie de travail de rajouter ces accessoires). </p>
<p>- Ecran tactile haute résolution de 22 pouces en 16/10 </p>
<p>- Traitement effectué directement à l'écran, ergonomie intuitive.</p>
<p>- Compatibilité avec tous les constructeurs, les PACS, les RIS, les commodités et les robots de gravure. Intéropérabilité totale avec tout réseau d'image ou de vidéo existant ou à venir.</p>
<p>- Support complet du standard DICOM 3.0</p>
<p>- Import des images depuis n'importe quelle origine (CD, DVD, réseau, serveur de stockage).</p>
<p>- Accès rapide aux images et chargement des données en direct à la demande : naviguez vers une coupe et celle-ci sera chargée avant n'importe quelle autre coupe.</p>
<p>- Nettoyage rapide et facile.</p>
<p>- Aucun élément rotatif : nouveau système de refroidissement <em>fanless</em>.</p>
<p>- Etudié pour limiter les risques de transmission bactériologique.</p>
<p>- Prévu pour une utilisation sur un chariot, sur tout bras articulé ou accroche murale.</p>
<p>- Comptabilité pour une utilisation sous Windows</p>
<p> </p>
<p><strong>Dimensions :</strong> 540 (L) x 390 (L) x 104.1 (E) mm?</p>
<p><strong>Poids</strong> avec DVD : 13.5 kg</p>
<p> </p>
<p><strong style=""line-height: 1.5em;"">Garantie</strong><span style=""line-height: 1.5em;""> : 1 an </span></p>
<p><span style=""line-height: 1.5em; color: #ff0000;"">(possibilité de formules modulables : extension de garantie, maintenance sur site, télémaintenance)</span></p>
<p><span style=""line-height: 1.5em; color: #ff0000;""><strong>Cette offre ne tient pas compte des prestation d'Installation/formation sur site qui dépendent du lieu d'installation. Nous vous remercions de prendre contact avec nos services pour que nous puissions vous établir un devis personnalisé.</strong></span></p>
<p> </p>";https://www.hexamed-leasing.fr/14676-home_default/negatoscope-numerique-dgscope-a22-avec-logiciel-giol.jpg
10130IZC90027IZC;HEXAMED MATERIEL MEDICAL;hexamed;Accessoires pour négatoscope numérique Dgscope A22 - Chariot;2079,17;41,79;"<p>Accessoires venant en complément du négatoscope numérique Dgscope A22.</p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>Références au choix :</strong></span></p>
<p><span style=""text-decoration: underline;"">- Mallette de transport</span><span style=""line-height: 1.5em;""> : mallette haute protection transportable. Sur roulettes, bras dépliable pendant le transport.</span></p>
<p><span style=""text-decoration: underline;"">- Protection d'écran anti-choc en acier</span><span style=""line-height: 1.5em;""> </span></p>
<p><span style=""text-decoration: underline;"">- Kit Wifi</span> </p>
<p><span style=""text-decoration: underline;"">- Chariot mobile</span> : <span style=""line-height: 1.5em;"">En acier peint, système chasse câble, permet l'ajustement en hauteur et inclinaison par verin pneumatique. Piètement anti-basculement à 5 bras, munis de 5 roulettes antistatiques, dont 2 à frein.</span></p>
<p>Mât télescopique permettant un réglage de la hauteur, grâce à un vérin à gaz, à blocage élastique. Le déblocage s'effectue à l'aide d'une pédale. Le blocage à la hauteur souhaitée se fait par le relâchement del a pression exercée sur la pédale.</p>
<p>Poignée rectangulaireà 4 fonctions : tirer ou pousser le chariot, assister la montée ou la descente du mât, assurer la rotation du poste de lecture et protéger l'écran des chocs.</p>
<p>Platine articulée, à friction, solidaire du mât, permettant la fixation des écrans standard. Les entraxes de trous, au carré, sont de type VESA 75 et 100mm, ou de 4"" et 5"". La platine est orientable suivant un axe horizontal, permettant l'inclinaison de l'écran de +30° à -30°. Cette platine est équipée d'une poignée permettant de régler le frottement et donc l'effort à fournir, pour le réglage et le maintien de l'écran à l'angle désiré.</p>
<p>L'ensemble est revêtu d'une peinture polyester couleur RAL9002.</p>
<p>Entretien : aucune opération de maintenance n'est préconisée. Le chariot supporte les lavages par les produits détergents courants, pulvérisés ou non, à l'exclusion des produits corrosifs, abrasifs chlorés ou iodés. Les modes de désinfection et de décontamination courants sont acceptés (chaleur humide et chaleur sêche.</p>
<p>Hauteur maximum de lecture : 1170mm</p>
<p>Hauteur minimum de lecture : 1020mm (réglage en continu sans incrément)</p>
<p>Encombrement : 720x720x1100mm</p>
<p>Poids : 21 kg</p>
<p>Charge admise : 21 kg</p>";https://www.hexamed-leasing.fr/18117-home_default/accessoires-pour-negatoscope-numerique-dgscope-a22.jpg
10131IZC90027IZC;HEXAMED MATERIEL MEDICAL;hexamed;Accessoires pour négatoscope numérique Dgscope A22 - Mallette de transport;485;10,07;"<p>Accessoires venant en complément du négatoscope numérique Dgscope A22.</p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>Références au choix :</strong></span></p>
<p><span style=""text-decoration: underline;"">- Mallette de transport</span><span style=""line-height: 1.5em;""> : mallette haute protection transportable. Sur roulettes, bras dépliable pendant le transport.</span></p>
<p><span style=""text-decoration: underline;"">- Protection d'écran anti-choc en acier</span><span style=""line-height: 1.5em;""> </span></p>
<p><span style=""text-decoration: underline;"">- Kit Wifi</span> </p>
<p><span style=""text-decoration: underline;"">- Chariot mobile</span> : <span style=""line-height: 1.5em;"">En acier peint, système chasse câble, permet l'ajustement en hauteur et inclinaison par verin pneumatique. Piètement anti-basculement à 5 bras, munis de 5 roulettes antistatiques, dont 2 à frein.</span></p>
<p>Mât télescopique permettant un réglage de la hauteur, grâce à un vérin à gaz, à blocage élastique. Le déblocage s'effectue à l'aide d'une pédale. Le blocage à la hauteur souhaitée se fait par le relâchement del a pression exercée sur la pédale.</p>
<p>Poignée rectangulaireà 4 fonctions : tirer ou pousser le chariot, assister la montée ou la descente du mât, assurer la rotation du poste de lecture et protéger l'écran des chocs.</p>
<p>Platine articulée, à friction, solidaire du mât, permettant la fixation des écrans standard. Les entraxes de trous, au carré, sont de type VESA 75 et 100mm, ou de 4"" et 5"". La platine est orientable suivant un axe horizontal, permettant l'inclinaison de l'écran de +30° à -30°. Cette platine est équipée d'une poignée permettant de régler le frottement et donc l'effort à fournir, pour le réglage et le maintien de l'écran à l'angle désiré.</p>
<p>L'ensemble est revêtu d'une peinture polyester couleur RAL9002.</p>
<p>Entretien : aucune opération de maintenance n'est préconisée. Le chariot supporte les lavages par les produits détergents courants, pulvérisés ou non, à l'exclusion des produits corrosifs, abrasifs chlorés ou iodés. Les modes de désinfection et de décontamination courants sont acceptés (chaleur humide et chaleur sêche.</p>
<p>Hauteur maximum de lecture : 1170mm</p>
<p>Hauteur minimum de lecture : 1020mm (réglage en continu sans incrément)</p>
<p>Encombrement : 720x720x1100mm</p>
<p>Poids : 21 kg</p>
<p>Charge admise : 21 kg</p>";https://www.hexamed-leasing.fr/18117-home_default/accessoires-pour-negatoscope-numerique-dgscope-a22.jpg
10132IZC90027IZC;HEXAMED MATERIEL MEDICAL;hexamed;Accessoires pour négatoscope numérique Dgscope A22 - Kit Wifi;526,67;10,57;"<p>Accessoires venant en complément du négatoscope numérique Dgscope A22.</p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>Références au choix :</strong></span></p>
<p><span style=""text-decoration: underline;"">- Mallette de transport</span><span style=""line-height: 1.5em;""> : mallette haute protection transportable. Sur roulettes, bras dépliable pendant le transport.</span></p>
<p><span style=""text-decoration: underline;"">- Protection d'écran anti-choc en acier</span><span style=""line-height: 1.5em;""> </span></p>
<p><span style=""text-decoration: underline;"">- Kit Wifi</span> </p>
<p><span style=""text-decoration: underline;"">- Chariot mobile</span> : <span style=""line-height: 1.5em;"">En acier peint, système chasse câble, permet l'ajustement en hauteur et inclinaison par verin pneumatique. Piètement anti-basculement à 5 bras, munis de 5 roulettes antistatiques, dont 2 à frein.</span></p>
<p>Mât télescopique permettant un réglage de la hauteur, grâce à un vérin à gaz, à blocage élastique. Le déblocage s'effectue à l'aide d'une pédale. Le blocage à la hauteur souhaitée se fait par le relâchement del a pression exercée sur la pédale.</p>
<p>Poignée rectangulaireà 4 fonctions : tirer ou pousser le chariot, assister la montée ou la descente du mât, assurer la rotation du poste de lecture et protéger l'écran des chocs.</p>
<p>Platine articulée, à friction, solidaire du mât, permettant la fixation des écrans standard. Les entraxes de trous, au carré, sont de type VESA 75 et 100mm, ou de 4"" et 5"". La platine est orientable suivant un axe horizontal, permettant l'inclinaison de l'écran de +30° à -30°. Cette platine est équipée d'une poignée permettant de régler le frottement et donc l'effort à fournir, pour le réglage et le maintien de l'écran à l'angle désiré.</p>
<p>L'ensemble est revêtu d'une peinture polyester couleur RAL9002.</p>
<p>Entretien : aucune opération de maintenance n'est préconisée. Le chariot supporte les lavages par les produits détergents courants, pulvérisés ou non, à l'exclusion des produits corrosifs, abrasifs chlorés ou iodés. Les modes de désinfection et de décontamination courants sont acceptés (chaleur humide et chaleur sêche.</p>
<p>Hauteur maximum de lecture : 1170mm</p>
<p>Hauteur minimum de lecture : 1020mm (réglage en continu sans incrément)</p>
<p>Encombrement : 720x720x1100mm</p>
<p>Poids : 21 kg</p>
<p>Charge admise : 21 kg</p>";https://www.hexamed-leasing.fr/18117-home_default/accessoires-pour-negatoscope-numerique-dgscope-a22.jpg
