cd "N° SIRET","Code Client","Code Client Partenaire","Apporteur","Email"
"81992580100014","BPxxxxxx","C048AUDACE","Boulanger Pro","audace.association@hotmail.com"
"78444843300101",,"C048CEREPP","Boulanger Pro","secretariat.siege@cerep-phymentin.orf"
"53311074800019",,"C048ASSREZ","Boulanger Pro","sebastien.roblain@rezonance.media"
"13002271800014",,"C048CCIHDF","Boulanger Pro","l.pontzeele@hautsdefrance.cci.fr"
"20005618200021",,"C048CENT19","Boulanger Pro","accueil.ehpad.champtoceaux@gmail.com"
"78370259000028",,"C048FERON","Boulanger Pro","ghislain.bouveret@feron-vrau.com"
"18004602100028",,"C048CGPOMP","Boulanger Pro","factures@centrepompidou.fr"
"26110010100011",,"C048CENT18","Boulanger Pro","secretariat.dsi@ch-narbonne.fr"
"19760075200012",,"C048COLALA","Boulanger Pro","int.07600750@ac-rouen.fr"
"19941233900020",,"C048COLCAM","Boulanger Pro","int.0941233e@ac-creteil.fr"
"19840027700010",,"C048COALCA","Boulanger Pro","ges.clgtourdaigues@ac-aix-marseille.fr"
"19332190800017",,"C048COLLE1","Boulanger Pro","gest.0332190b@ac-bordeaux.fr"
"19671689800016",,"C048COLRAU","Boulanger Pro","ce.0671689x@ac-strasbourg.fr"
"19131261000014",,"C048COLAUG","Boulanger Pro","ges.clg.renoir@ac-aix-marseille.fr"
"19100031400010",,"C048COLBEU","Boulanger Pro","ce.0100031e@ac-reims.fr"
"19951799600013",,"C048COLLEB","Boulanger Pro","int.0951799p@ac-versailles.fr"
"19840020200018",,"C048COLCLO","Boulanger Pro","ce.0840020r@ac-aix-marseille.fr"
"19770002400015",,"C048COLDEN","Boulanger Pro","int.0770002j@ac-creteil.fr"
"19951697200015",,"C048COMOVE","Boulanger Pro","catherine.lang60@gmail.com"
"19630058600019",,"C048COLVAL","Boulanger Pro","int.0630058w@ac-clermont.fr"
"19332705300016",,"C048COLL14","Boulanger Pro","gest.0332705l@ac-bordeaux.fr"
"19421172800010",,"C048COLFTR","Boulanger Pro","intendant.0421172w@ac-lyon.fr"
"19753518000016",,"C048COLL13","Boulanger Pro","int.0753518s@ac-paris.fr"
"19671913200017",,"C048COLHER","Boulanger Pro","myriam.forner@ac-strasbourg.fr"
"19730004900016",,"C048COLLE9","Boulanger Pro","florence.polak@ac-grenoble.fr"
"19860016500015",,"C048COLJEJ","Boulanger Pro","ce.0860016a@ac-poitiers.fr"
"19600027700018",,"C048COLJEH","Boulanger Pro","gest.0600027d@ac-amiens.fr"
"19760069500013",,"C048COLL12","Boulanger Pro","int.0760069m@ac-rouen.fr"
"19801339300014",,"C048COLCOU","Boulanger Pro","ce.0801339w@ac-amiens.fr"
"19382426500014",,"C048COLMAU","Boulanger Pro","jean-marc.charpin@ac-grenoble.fr"
"19011142700018",,"C048COLL10","Boulanger Pro","intendant.0011142l@ac-lyon.fr"
"19460528300010",,"C048COLOM","Boulanger Pro","0460528z@ac-toulouse.fr"
