"TYPE";"Référence";"Désignation";"Etat";"Commentaire";"Prix d'achat dont ecotaxe";"EcoTaxe";"Eco Mobilier";"Type";"Fournisseur";"Fabriquant";"Catégorie";"Sous Catégorie";"Loyer";"Durée";"Visible sur le site";"EAN";"Description";"id_document_contrat :";"url image"
"PRODUIT PRINCIPAL";1074177;"Réfrigérateur 2 portes Vent HISENSE RT417N4DC1";"actif";"Réfrigérateur 2 portes Vent HISENSE RT417N4DC1";315,53;15;0;"Fixe";"Boulanger Pro";"HISENSE";"GROS ELECTRO MENAGER";"Réfrigérateur";8,95;60;"Oui";6943619736813;"Réfrigérateur 2 portes Vent HISENSE RT417N4DC1";;"https://boulanger.scene7.com/is/image/Boulanger/6943619736813_h_f_l_0"
"PRODUIT PRINCIPAL";1142970;"Portable ACER Aspire A315-54K-35BP";"actif";"Portable ACER Aspire A315-54K-35BP";303,65;0,3;0;"Portable";"Boulanger Pro";"ACER";"INFORMATIQUE";"PORTABLE";8,58;36;"Oui";4710180740233;"Portable ACER Aspire A315-54K-35BP";;"https://boulanger.scene7.com/is/image/Boulanger/4710180740233_h_f_l_0"
"PRODUIT PRINCIPAL";1143198;"Portable HP 15-db0121nf Noir";"actif";"Portable HP 15-db0121nf Noir";308,52;0,42;0;"Portable";"Boulanger Pro";"HP";"INFORMATIQUE";"PORTABLE";8,74;36;"Oui";194850251108;"Portable HP 15-db0121nf Noir";;"https://boulanger.scene7.com/is/image/Boulanger/0194850251108_h_f_l_0"
"PRODUIT PRINCIPAL";1129471;"Combiné GORENJE NRK11PWJ";"actif";"Combiné GORENJE NRK11PWJ";323,43;15;0;"Fixe";"Boulanger Pro";"GORENJE";"GROS ELECTRO MENAGER";"Réfrigérateur";8,65;60;"Oui";3838782344978;"Combiné GORENJE NRK11PWJ";;"https://boulanger.scene7.com/is/image/Boulanger/3838782344978_h_f_l_0"
"PRODUIT PRINCIPAL";1142746;"Ecran IIYAMA XUB2792UHSU-B1";"actif";"Ecran IIYAMA XUB2792UHSU-B1";314,44;2,5;0;"Portable";"Boulanger Pro";"IIYAMA";"INFORMATIQUE";"ECRAN";8,96;36;"Oui";4948570116638;"Ecran IIYAMA XUB2792UHSU-B1";;"https://boulanger.scene7.com/is/image/Boulanger/4948570116638_h_f_l_0"
"PRODUIT PRINCIPAL";1143217;"Portable LENOVO Ideapad 330-17AST-751";"actif";"Portable LENOVO Ideapad 330-17AST-751";328,42;0,42;0;"Portable";"Boulanger Pro";"LENOVO";"INFORMATIQUE";"PORTABLE";9,3;36;"Oui";193268712751;"Portable LENOVO Ideapad 330-17AST-751";;"https://boulanger.scene7.com/is/image/Boulanger/0193268712751_h_f_l_0"
"PRODUIT PRINCIPAL";1143111;"Portable ACER Aspire A315-34-P4Q6  Noir";"actif";"Portable ACER Aspire A315-34-P4Q6  Noir";332,21;0,3;0;"Portable";"Boulanger Pro";"ACER";"INFORMATIQUE";"PORTABLE";9,38;36;"Oui";4710180549751;"Portable ACER Aspire A315-34-P4Q6  Noir";;"https://boulanger.scene7.com/is/image/Boulanger/4710180549751_h_f_l_0"
"PRODUIT PRINCIPAL";1143163;"Portable HP 14s-dq0001nf";"actif";"Portable HP 14s-dq0001nf";352,18;0,3;0;"Portable";"Boulanger Pro";"HP";"INFORMATIQUE";"PORTABLE";9,89;36;"Oui";193905482986;"Portable HP 14s-dq0001nf";;"https://boulanger.scene7.com/is/image/Boulanger/0193905482986_h_f_l_0"
"PRODUIT PRINCIPAL";1143164;"Portable HP 15-dw0009nf";"actif";"Portable HP 15-dw0009nf";382,73;0,42;0;"Portable";"Boulanger Pro";"HP";"INFORMATIQUE";"PORTABLE";10,75;36;"Oui";194441900231;"Portable HP 15-dw0009nf";;"https://boulanger.scene7.com/is/image/Boulanger/0194441900231_h_f_l_0"
"PRODUIT PRINCIPAL";1142723;"Portable ORDISSIMO Julia 2 ART0405";"actif";"Portable ORDISSIMO Julia 2 ART0405";386,9;0,25;0;"Portable";"Boulanger Pro";"ORDISSIMO";"INFORMATIQUE";"PORTABLE";10,86;36;"Oui";3760179061505;"Portable ORDISSIMO Julia 2 ART0405";;"https://boulanger.scene7.com/is/image/Boulanger/3760179061505_h_f_l_0"
