"TYPE";"Référence";"Désignation";"Etat";"Commentaire";"Prix d'achat dont ecotaxe";"EcoTaxe";"Eco Mobilier";"Type";"Fournisseur";"Fabriquant";"Catégorie";"Sous Catégorie";"Loyer";"Durée";"Visible sur le site";"EAN";"Description";"id_document_contrat :";"url image"
"PRODUIT PRINCIPAL";"8DZ12EA";"HP EliteDesk 800 G5 - tour - Core i7 8700 3.2 GHz - 8 Go - 256 Go - Français";"actif";"HP EliteDesk 800 G5 - tour - Core i7 8700 3.2 GHz - 8 Go - 256 Go - Français";882,3;0;0;"Fixe";"Boulanger Pro";"HP";"INFORMATIQUE";"PC";28,99;36;"Oui";;"HP EliteDesk 800 G5 - tour - Core i7 8700 3.2 GHz - 8 Go - 256 Go - Français";;"https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c06416256.jpg"
"PRODUIT PRINCIPAL";"7PH81EA";"HP ProDesk 400 G6 - micro-tour - Core i5 8500 3 GHz - 8 Go - 256 Go";"actif";"HP ProDesk 400 G6 - micro-tour - Core i5 8500 3 GHz - 8 Go - 256 Go";643,822222222222;0;0;"Fixe";"Boulanger Pro";"HP";"INFORMATIQUE";"PC";21,41;36;"Oui";;"HP ProDesk 400 G6 - micro-tour - Core i5 8500 3 GHz - 8 Go - 256 Go";;"https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c06409127.jpg"
"PRODUIT PRINCIPAL";"7KP17EA";"HP EliteBook 850 G6 - 15.6"" - Core i7 8565U - 8 Go RAM - 512 Go SSD - Français";"actif";"HP EliteBook 850 G6 - 15.6"" - Core i7 8565U - 8 Go RAM - 512 Go SSD - Français";1036,17777777778;0;0;"Portable";"Boulanger Pro";"HP";"INFORMATIQUE";"PORTABLE";33,88;36;"Oui";;"HP EliteBook 850 G6 - 15.6"" - Core i7 8565U - 8 Go RAM - 512 Go SSD - Français";;"https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c06378961.jpg"
"PRODUIT PRINCIPAL";"9VZ31EA";"HP ProBook 450 G7 - 15.6"" - Core i3 10110U - 8 Go RAM - 256 Go SSD - Français";"actif";"HP ProBook 450 G7 - 15.6"" - Core i3 10110U - 8 Go RAM - 256 Go SSD - Français";656,855555555556;0;0;"Portable";"Boulanger Pro";"HP";"INFORMATIQUE";"PORTABLE";21,83;36;"Oui";;"HP ProBook 450 G7 - 15.6"" - Core i3 10110U - 8 Go RAM - 256 Go SSD - Français";;"https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c06455784.jpg"
"PRODUIT PRINCIPAL";"9WA26EA";"HP Elite Dragonfly - 13.3"" - Core i7 8565U - 16 Go RAM - 512 Go SSD - Français";"actif";"HP Elite Dragonfly - 13.3"" - Core i7 8565U - 16 Go RAM - 512 Go SSD - Français";1666,66666666667;0;0;"Portable";"Boulanger Pro";"HP";"INFORMATIQUE";"PORTABLE";53,55;36;"Oui";;"HP Elite Dragonfly - 13.3"" - Core i7 8565U - 16 Go RAM - 512 Go SSD - Français";;"https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c06453668.jpg"
"PRODUIT OPTIONNEL";"1FH46AA";"HP EliteDisplay E233  23''";"actif";;157,6;0;0;"Sans objet";"DIB";"HP";"INFORMATIQUE";"ECRAN";5,2;36;"oui";;"HP EliteDisplay E233  23''";;"https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c03915805.jpg"
"PRODUIT OPTIONNEL";"D9Y32ET";"Station d'accueil ";"actif";;121,11;0;0;"Sans objet";"DIB";"HP";"INFORMATIQUE";"STATION D'ACCUEIL";4;36;"oui";;"Station d'accueil ";;"https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c06297989.png"
"PRODUIT OPTIONNEL";"5TW1ET";"Station d'accueil  USB-C";"actif";;210,32;0;0;"Sans objet";"DIB";"HP";"INFORMATIQUE";"STATION D'ACCUEIL";6,9;36;"oui";;"Station d'accueil  USB-C";;"https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c05804149.jpg"
"PRODUIT OPTIONNEL";"2MW62ET";"Sacoche 15''";"actif";;13,39;0;0;"Sans objet";"DIB";"HP";"INFORMATIQUE";"ACCESSOIRE";0,4;36;"oui";;"Sacoche 15''";;
"GARANTIE";"U6578E";"Ext de garantie 3 ans/site";"actif";;40;0;0;"Sans objet";"DIB";"SFG";"INFORMATIQUE";"Extension de Garantie";1,3;36;"oui";;"Ext de garantie 3 ans/site";;
"GARANTIE";"UA6A1E";"Ext de garantie 3 ans";"actif";;118,144444444444;0;0;"Sans objet";"DIB";"SFG";"INFORMATIQUE";"Extension de Garantie";3,9;36;"oui";;"Ext de garantie 3 ans";;
"GARANTIE";"UK703E";"Ext de garantie 3 ans";"actif";;72,2222222222222;0;0;"Sans objet";"DIB";"SFG";"INFORMATIQUE";"Extension de Garantie";2,4;36;"oui";;"Ext de garantie 3 ans";;
"GARANTIE";"UB0E0E";"HP 3 ans Intervention sur site J+1 Elite";"actif";;104,311111111111;0;0;"Sans objet";"DIB";"SFG";"INFORMATIQUE";"Extension de Garantie";3,4;36;"oui";;"HP 3 ans Intervention sur site J+1 Elite";;
