"TYPE";"N°";"Ref Produit";"Produit principal";"Quantité";"Min";"Max";"option_incluse";"option_incluse_obligatoire";"Afficher sur le site";"Ordre";"Lignes de produits visible";"visible_sur_pdf";"Prix d'achat dont ecotaxe";"Fournisseur"
"PRODUIT PRINCIPAL";1;"15458IDM";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";195,83;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";2;"23098ARI92096ARI";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1183,33;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";3;"23079ARI92096ARI";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1183,33;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";4;"27528COP";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";195;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";5;"28492HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";6;"28493HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";7;"28506HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";8;"28507HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";9;"28508HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";10;"28509HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";11;"28510HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";12;"28511HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";13;"28512HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";14;"28513HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";15;"28514HBG92449HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2650;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";16;"28515HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";17;"28516HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";18;"28517HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";19;"28518HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";20;"28519HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";21;"28520HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";22;"28521HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";23;"28522HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";24;"28523HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";25;"28524HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
