"TYPE";"Référence";"Désignation";"Etat";"Commentaire";"Prix d'achat dont ecotaxe";"EcoTaxe";"Eco Mobilier";"Type";"Fournisseur";"Fabriquant";"Catégorie";"Sous Catégorie";"Loyer";"Durée";"Visible sur le site";"EAN";"Description";"id_document_contrat :";"url image"
"PRODUIT PRINCIPAL";"28422IMA";"Pousse-seringue automatique Gima";"actif";"Pousse-seringue automatique Gima";1089,9996;0;0;"Portable";"HEXAMED MATERIEL MEDICAL";"Gima";"MEDICAL";"Matériel pour analyses biologiques";21,66644612;60;"Oui";;"Pousse-seringue automatique Gima";;"https://www.hexamed-leasing.fr/33349-home_default/pousse-seringue-automatique-gima.jpg"
"PRODUIT PRINCIPAL";"16494OLT";"Holter tensionnel Suntech Oscar 2 M250";"actif";"Holter tensionnel Suntech Oscar 2 M250";2049,9996;0;0;"Portable";"HEXAMED MATERIEL MEDICAL";"Spengler";"MEDICAL";"Enregistreurs Holters ECG et MAPA";40,57844612;60;"Oui";;"Holter tensionnel Suntech Oscar 2 M250";;"https://www.hexamed-leasing.fr/28777-home_default/holter-tensionnel-suntech-oscar2.jpg"
"PRODUIT PRINCIPAL";"28128SEP";"Jeu de 10 adaptateurs à pinces + fiche banane pour électrode ECG à pression";"actif";"Jeu de 10 adaptateurs à pinces + fiche banane pour électrode ECG à pression";195;0;0;"Sans objet";"HEXAMED MATERIEL MEDICAL";"Aseptinmed";"MEDICAL";"Accessoires pour matériel de diagnostic général";4,034954;60;"Oui";;"Jeu de 10 adaptateurs à pinces + fiche banane pour électrode ECG à pression";;"https://www.hexamed-leasing.fr/13224-home_default/jeu-de-10-adaptateurs-a-pinces-fiche-banane-pour-electrode-ecg-a-pression.jpg"
"PRODUIT PRINCIPAL";"28160NTE";"Base de données OtoAccess Interacoustics";"actif";"Base de données OtoAccess Interacoustics";525;0;0;"Sans objet";"HEXAMED MATERIEL MEDICAL";"Interacoustics";"MEDICAL";"Accessoires pour matériel de diagnostic général";10,535954;60;"Oui";;"Base de données OtoAccess Interacoustics";;"https://www.hexamed-leasing.fr/26489-home_default/base-de-donnees-otoaccess-interacoustics.jpg"
"PRODUIT PRINCIPAL";"19477CHI92415CHI";"Electrocardiographe ECG numérique Schiller MS12 Blue avec logiciel informatique (compatible PC) - Sans option interprétation";"actif";"Electrocardiographe ECG numérique Schiller MS12 Blue avec logiciel informatique (compatible PC) - Sans option interprétation";1908;0;0;"Portable";"HEXAMED MATERIEL MEDICAL";"Schiller";"MEDICAL";"Electrocardiographes ECG";37,781054;60;"Oui";;"Electrocardiographe ECG numérique Schiller MS12 Blue avec logiciel informatique (compatible PC) - Sans option interprétation";;"https://www.hexamed-leasing.fr/24576-home_default/electrocardiographe-ecg-numerique-schiller-ms12-blue-avec-logiciel-informatique-compatible-pc.jpg"
"PRODUIT PRINCIPAL";"28207CHI92415CHI";"Electrocardiographe ECG numérique Schiller MS12 Blue avec logiciel informatique (compatible PC) - Avec option interprétation";"actif";"Electrocardiographe ECG numérique Schiller MS12 Blue avec logiciel informatique (compatible PC) - Avec option interprétation";2093,0004;0;0;"Portable";"HEXAMED MATERIEL MEDICAL";"Schiller";"MEDICAL";"Electrocardiographes ECG";41,42556188;60;"Oui";;"Electrocardiographe ECG numérique Schiller MS12 Blue avec logiciel informatique (compatible PC) - Avec option interprétation";;"https://www.hexamed-leasing.fr/24576-home_default/electrocardiographe-ecg-numerique-schiller-ms12-blue-avec-logiciel-informatique-compatible-pc.jpg"
"PRODUIT PRINCIPAL";"20134UMO";"Pousse-seringue Mono voie Perfusor Space B.Braun";"actif";"Pousse-seringue Mono voie Perfusor Space B.Braun";2628,9996;0;0;"Portable";"HEXAMED MATERIEL MEDICAL";"DUMONT SECURITE";"MEDICAL";"Matériel pour analyses biologiques";51,98474612;60;"Oui";;"Pousse-seringue Mono voie Perfusor Space B.Braun";;"https://www.hexamed-leasing.fr/22199-home_default/pousse-seringue-mono-voie-perfusor-space-bbraun.jpg"
"PRODUIT PRINCIPAL";"18775RAF91683RAF";"Cardiotocographe / Moniteur foetal gémellaire Edan F3 + VCT - sans sacoche";"actif";"Cardiotocographe / Moniteur foetal gémellaire Edan F3 + VCT - sans sacoche";2655;0;0;"Portable";"HEXAMED MATERIEL MEDICAL";"FRAFITO";"MEDICAL";"Cardiotocographes";52,658494;60;"Oui";;"Cardiotocographe / Moniteur foetal gémellaire Edan F3 + VCT - sans sacoche";;"https://www.hexamed-leasing.fr/28183-home_default/cardiotocographe-moniteur-foetal-gemellaire-edan-f3.jpg"
"PRODUIT PRINCIPAL";"18765RAF91684RAF";"Cardiotocographe / Moniteur foetal gémellaire Edan F2 + VCT - sans sacoche";"actif";"Cardiotocographe / Moniteur foetal gémellaire Edan F2 + VCT - sans sacoche";2589,9996;0;0;"Portable";"HEXAMED MATERIEL MEDICAL";"FRAFITO";"MEDICAL";"Cardiotocographes";51,37798612;60;"Oui";;"Cardiotocographe / Moniteur foetal gémellaire Edan F2 + VCT - sans sacoche";;"https://www.hexamed-leasing.fr/28182-home_default/cardiotocographe-moniteur-foetal-gemellaire-edan-f2-vct.jpg"
"PRODUIT PRINCIPAL";"28170NTE91749NTE";"Système Interacoustics OtoRead Dépistage pour dépistage de la surdité du nouveau-né - OtoRead Dépistage avec DPOAE";"actif";"Système Interacoustics OtoRead Dépistage pour dépistage de la surdité du nouveau-né - OtoRead Dépistage avec DPOAE";5430;0;0;"Portable";"HEXAMED MATERIEL MEDICAL";"Interacoustics";"MEDICAL";"Matériel d'audiométrie";107,164454;60;"Oui";;"Système Interacoustics OtoRead Dépistage pour dépistage de la surdité du nouveau-né - OtoRead Dépistage avec DPOAE";;"https://www.hexamed-leasing.fr/29934-home_default/systeme-interacoustics-otoread-depistage-pour-depistage-de-la-surdite-du-nouveau-ne.jpg"
