"N°";"Nom";"Etat";"Site associé";"Visible sur le site";"Description"
1;"Lexmark MX421ade 36 mois";"actif";"axa";"Oui";"Le modèle Lexmark MX421ade imprime jusqu'à 40 pages par minute et offre des fonctions de télécopie, de numérisation recto verso et de copie, ainsi qu'un écran tactile de 10 pouces."
2;"Lexmark MX421ade 48 mois";"actif";"axa";"Oui";"Le modèle Lexmark MX421ade imprime jusqu'à 40 pages par minute et offre des fonctions de télécopie, de numérisation recto verso et de copie, ainsi qu'un écran tactile de 10 pouces."
3;"Lexmark MX421ade 60 mois";"actif";"axa";"Oui";"Le modèle Lexmark MX421ade imprime jusqu'à 40 pages par minute et offre des fonctions de télécopie, de numérisation recto verso et de copie, ainsi qu'un écran tactile de 10 pouces."
4;"Lexmark MX522adhe 36 mois";"actif";"axa";"Oui";"Profitez des performances et de la durabilité des composants longue durée du modèle MX522adhe, produit multifonction doté de la fonction de télécopie, d'une vitesse d'impression de 44 pages par minute* et d'un disque dur en standard."
5;"Lexmark MX522adhe 48 mois";"actif";"axa";"Oui";"Profitez des performances et de la durabilité des composants longue durée du modèle MX522adhe, produit multifonction doté de la fonction de télécopie, d'une vitesse d'impression de 44 pages par minute* et d'un disque dur en standard."
6;"Lexmark MX522adhe 60 mois";"actif";"axa";"Oui";"Profitez des performances et de la durabilité des composants longue durée du modèle MX522adhe, produit multifonction doté de la fonction de télécopie, d'une vitesse d'impression de 44 pages par minute* et d'un disque dur en standard."
7;"Lexmark CX522ade 36 mois";"actif";"axa";"Oui";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. "
8;"Lexmark CX522ade 48 mois";"actif";"axa";"Oui";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. "
9;"Lexmark CX522ade 60 mois";"actif";"axa";"Oui";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. "
10;"Lexmark CX522ade + Double bac 650 feuilles 36 mois";"actif";"axa";"Oui";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. Le tiroir 550 feuilles prend en charge les formats A4, A5, JIS B5, Folio, Lettre, Légal, Executive et Oficio. Du papier (16 à 47 lb., 60 à 176 gsm) et du bristol peuvent être utilisés à partir de ce bac. Le chargeur multifonction de 100 feuilles prend en charge les formats A4, A5, A6, JIS B5, Folio, Lettre, Légal, Executive, Statement et Oficio ainsi que les formats d'enveloppe 7¾, 9, 10, DL, C5, B5 et Monarch. Du papier, des étiquettes en papier, des enveloppes, des transparents et du bristol peuvent être utilisés à partir du dispositif d'alimentation polyvalent. "
11;"Lexmark CX522ade + Double bac 650 feuilles 48 mois";"actif";"axa";"Oui";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. Le tiroir 550 feuilles prend en charge les formats A4, A5, JIS B5, Folio, Lettre, Légal, Executive et Oficio. Du papier (16 à 47 lb., 60 à 176 gsm) et du bristol peuvent être utilisés à partir de ce bac. Le chargeur multifonction de 100 feuilles prend en charge les formats A4, A5, A6, JIS B5, Folio, Lettre, Légal, Executive, Statement et Oficio ainsi que les formats d'enveloppe 7¾, 9, 10, DL, C5, B5 et Monarch. Du papier, des étiquettes en papier, des enveloppes, des transparents et du bristol peuvent être utilisés à partir du dispositif d'alimentation polyvalent. "
12;"Lexmark CX522ade + Double bac 650 feuilles 60 mois";"actif";"axa";"Oui";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. Le tiroir 550 feuilles prend en charge les formats A4, A5, JIS B5, Folio, Lettre, Légal, Executive et Oficio. Du papier (16 à 47 lb., 60 à 176 gsm) et du bristol peuvent être utilisés à partir de ce bac. Le chargeur multifonction de 100 feuilles prend en charge les formats A4, A5, A6, JIS B5, Folio, Lettre, Légal, Executive, Statement et Oficio ainsi que les formats d'enveloppe 7¾, 9, 10, DL, C5, B5 et Monarch. Du papier, des étiquettes en papier, des enveloppes, des transparents et du bristol peuvent être utilisés à partir du dispositif d'alimentation polyvalent. "
13;"Lexmark CX825dte 36 mois";"actif";"axa";"Oui";"Le MFP A4 couleur Lexmark CX825dte allie rapidité d'impression (jusqu'à 52 pages par minute), facilité d'utilisation, couleurs professionnelles et capacité d'alimentation standard de 1 750 pages maximum, sans oublier des options de finition disponibles."
14;"Lexmark CX825dte 48 mois";"actif";"axa";"Oui";"Le MFP A4 couleur Lexmark CX825dte allie rapidité d'impression (jusqu'à 52 pages par minute), facilité d'utilisation, couleurs professionnelles et capacité d'alimentation standard de 1 750 pages maximum, sans oublier des options de finition disponibles."
15;"Lexmark CX825dte 60 mois";"actif";"axa";"Oui";"Le MFP A4 couleur Lexmark CX825dte allie rapidité d'impression (jusqu'à 52 pages par minute), facilité d'utilisation, couleurs professionnelles et capacité d'alimentation standard de 1 750 pages maximum, sans oublier des options de finition disponibles."
16;"Lexmark CX921de 36 mois";"actif";"axa";"Oui";"Bondée de fonctionnalités standards, la Lexmark CX921de est compatible avec le format SRA3 (30.48 x 45.72 cm) et imprime 35 ppm. Elle s'adapte idéalement à des charges de travail importantes en combinant l'impression, la copie, la numérisation, la télécopie et diverses options de finition."
17;"Lexmark CX921de 48 mois";"actif";"axa";"Oui";"Bondée de fonctionnalités standards, la Lexmark CX921de est compatible avec le format SRA3 (30.48 x 45.72 cm) et imprime 35 ppm. Elle s'adapte idéalement à des charges de travail importantes en combinant l'impression, la copie, la numérisation, la télécopie et diverses options de finition."
18;"Lexmark CX921de 60 mois";"actif";"axa";"Oui";"Bondée de fonctionnalités standards, la Lexmark CX921de est compatible avec le format SRA3 (30.48 x 45.72 cm) et imprime 35 ppm. Elle s'adapte idéalement à des charges de travail importantes en combinant l'impression, la copie, la numérisation, la télécopie et diverses options de finition."
