"TYPE";"Référence";"Désignation";"Etat";"Commentaire";"Prix d'achat dont ecotaxe";"EcoTaxe";"Eco Mobilier";"Type";"Fournisseur";"Fabriquant";"Catégorie";"Sous Catégorie";"Loyer";"Durée";"Visible sur le site";"EAN";"Description";"id_document_contrat :";"url image"
"PRODUIT PRINCIPAL";"MX421ade_Axa_36";"Lexmark MX421ade 36 mois";"actif";"Le modèle Lexmark MX421ade imprime jusqu'à 40 pages par minute et offre des fonctions de télécopie, de numérisation recto verso et de copie, ainsi qu'un écran tactile de 10 pouces.";580;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";25,15;36;"Oui";;"Le modèle Lexmark MX421ade imprime jusqu'à 40 pages par minute et offre des fonctions de télécopie, de numérisation recto verso et de copie, ainsi qu'un écran tactile de 10 pouces.";;
"PRODUIT PRINCIPAL";"MX421ade_Axa_48";"Lexmark MX421ade 48 mois";"actif";"Le modèle Lexmark MX421ade imprime jusqu'à 40 pages par minute et offre des fonctions de télécopie, de numérisation recto verso et de copie, ainsi qu'un écran tactile de 10 pouces.";580;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";19,6;48;"Oui";;"Le modèle Lexmark MX421ade imprime jusqu'à 40 pages par minute et offre des fonctions de télécopie, de numérisation recto verso et de copie, ainsi qu'un écran tactile de 10 pouces.";;
"PRODUIT PRINCIPAL";"MX421ade_Axa_60";"Lexmark MX421ade 60 mois";"actif";"Le modèle Lexmark MX421ade imprime jusqu'à 40 pages par minute et offre des fonctions de télécopie, de numérisation recto verso et de copie, ainsi qu'un écran tactile de 10 pouces.";580;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";16,25;60;"Oui";;"Le modèle Lexmark MX421ade imprime jusqu'à 40 pages par minute et offre des fonctions de télécopie, de numérisation recto verso et de copie, ainsi qu'un écran tactile de 10 pouces.";;
"PRODUIT PRINCIPAL";"MX522adhe_Axa_36";"Lexmark MX522adhe 36 mois";"actif";"Profitez des performances et de la durabilité des composants longue durée du modèle MX522adhe, produit multifonction doté de la fonction de télécopie, d'une vitesse d'impression de 44 pages par minute* et d'un disque dur en standard.";776,67;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";33,85;36;"Oui";;"Profitez des performances et de la durabilité des composants longue durée du modèle MX522adhe, produit multifonction doté de la fonction de télécopie, d'une vitesse d'impression de 44 pages par minute* et d'un disque dur en standard.";;
"PRODUIT PRINCIPAL";"MX522adhe_Axa_48";"Lexmark MX522adhe 48 mois";"actif";"Profitez des performances et de la durabilité des composants longue durée du modèle MX522adhe, produit multifonction doté de la fonction de télécopie, d'une vitesse d'impression de 44 pages par minute* et d'un disque dur en standard.";776,67;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";26,3;48;"Oui";;"Profitez des performances et de la durabilité des composants longue durée du modèle MX522adhe, produit multifonction doté de la fonction de télécopie, d'une vitesse d'impression de 44 pages par minute* et d'un disque dur en standard.";;
"PRODUIT PRINCIPAL";"MX522adhe_Axa_60";"Lexmark MX522adhe 60 mois";"actif";"Profitez des performances et de la durabilité des composants longue durée du modèle MX522adhe, produit multifonction doté de la fonction de télécopie, d'une vitesse d'impression de 44 pages par minute* et d'un disque dur en standard.";776,67;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";21,8;60;"Oui";;"Profitez des performances et de la durabilité des composants longue durée du modèle MX522adhe, produit multifonction doté de la fonction de télécopie, d'une vitesse d'impression de 44 pages par minute* et d'un disque dur en standard.";;
"PRODUIT PRINCIPAL";"CX522ade_Axa_36";"Lexmark CX522ade 36 mois";"actif";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. ";758,33;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";33,15;36;"Oui";;"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. ";;
"PRODUIT PRINCIPAL";"CX522ade_Axa_48";"Lexmark CX522ade 48 mois";"actif";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. ";758,33;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";25,75;48;"Oui";;"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. ";;
"PRODUIT PRINCIPAL";"CX522ade_Axa_60";"Lexmark CX522ade 60 mois";"actif";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. ";758,33;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";21,35;60;"Oui";;"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. ";;
"PRODUIT PRINCIPAL";"CX522adebac_Axa_36";"Lexmark CX522ade + Double bac 650 feuilles 36 mois";"actif";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. Le tiroir 550 feuilles prend en charge les formats A4, A5, JIS B5, Folio, Lettre, Légal, Executive et Oficio. Du papier (16 à 47 lb., 60 à 176 gsm) et du bristol peuvent être utilisés à partir de ce bac. Le chargeur multifonction de 100 feuilles prend en charge les formats A4, A5, A6, JIS B5, Folio, Lettre, Légal, Executive, Statement et Oficio ainsi que les formats d'enveloppe 7¾, 9, 10, DL, C5, B5 et Monarch. Du papier, des étiquettes en papier, des enveloppes, des transparents et du bristol peuvent être utilisés à partir du dispositif d'alimentation polyvalent. ";918,33;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";39,1;36;"Oui";;"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. Le tiroir 550 feuilles prend en charge les formats A4, A5, JIS B5, Folio, Lettre, Légal, Executive et Oficio. Du papier (16 à 47 lb., 60 à 176 gsm) et du bristol peuvent être utilisés à partir de ce bac. Le chargeur multifonction de 100 feuilles prend en charge les formats A4, A5, A6, JIS B5, Folio, Lettre, Légal, Executive, Statement et Oficio ainsi que les formats d'enveloppe 7¾, 9, 10, DL, C5, B5 et Monarch. Du papier, des étiquettes en papier, des enveloppes, des transparents et du bristol peuvent être utilisés à partir du dispositif d'alimentation polyvalent. ";;
