"TYPE";"Référence";"Désignation";"Etat";"Commentaire";"Prix d'achat dont ecotaxe";"EcoTaxe";"Eco Mobilier";"Type";"Fournisseur";"Fabriquant";"Catégorie";"Sous Catégorie";"Loyer";"Durée";"Visible sur le site";"EAN";"Description";"id_document_contrat :";"url image"
"PRODUIT PRINCIPAL";"8DZ12EA";"Haut  de gamme Elitedesk 800";"actif";"Haut  de gamme Elitedesk 800";882,3;0;0;"Fixe";"DIB";"HP";"INFORMATIQUE";"PC";28,99;36;"Oui";;"Optimisé pour l’entreprise, le HP EliteDesk 800 format tour hautes performances offre une évolutivité exceptionnelle et une sécurité renforcée, nécessaire aux bureaux hyper-productifs d’aujourd’hui, dans un châssis élégant conçu pour les environnements de travail modernes.";;
"PRODUIT PRINCIPAL";"7PH81EA";"Entrée de gamme Prodesk 400";"actif";"Entrée de gamme Prodesk 400";643,822222222222;0;0;"Fixe";"DIB";"HP";"INFORMATIQUE";"PC";21,41;36;"Oui";;"Conçu pour s’adapter à l’espace de travail moderne, le HP ProDesk 400 format micro-tour, élégant et fiable, est doté de puissantes fonctions de sécurité et de performances évolutives pour booster votre entreprise.";;
"PRODUIT PRINCIPAL";"7KP17EA";"Haut de gamme Elitebook 850";"actif";"Haut de gamme Elitebook 850";1036,17777777778;0;0;"Portable";"DIB";"HP";"INFORMATIQUE";"PORTABLE";33,88;36;"Oui";;"Conçu exclusivement pour le professionnel moderne et mobile, le HP EliteBook 850 est un ordinateur hautement sécurisé et facile à gérer offrant de puissants outils de collaboration. Il permet aux collaborateurs de l’entreprise d’être plus productifs en toute sécurité, qu’ils soient en déplacement ou au bureau.";;
"PRODUIT PRINCIPAL";"9VZ31EA";"Entrée de gamme Prodesk 450 G7";"actif";"Entrée de gamme Prodesk 450 G7";656,855555555556;0;0;"Portable";"DIB";"HP";"INFORMATIQUE";"PORTABLE";21,83;36;"Oui";;"Le HP ProBook 450 fiable, fin, léger et complet offre des fonctionnalités commerciales essentielles à un prix abordable pour chaque entreprise. Des solutions de sécurité automatiques, une performance puissante et une longue autonomie de la batterie préservent la productivité de votre entreprise.";;
"PRODUIT PRINCIPAL";"9WA26EA";"Ultra Portable ht de gamme ";"actif";"Ultra Portable ht de gamme ";1666,66666666667;0;0;"Portable";"DIB";"HP";"INFORMATIQUE";"PORTABLE";53,55;36;"Oui";;"Le HP Elite Dragonfly offre la liberté ultime pour toutes les personnes en déplacements. Cet ordinateur portable professionnel convertible, ultra léger, avec une superbe finition bleu libellule, dispose d’un écran ultra-lumineux et de fonctions de sécurité avancées pour assurer votre sécurité et votre productivité où que vous soyez.";;
"PRODUIT PRINCIPAL";"1FH46AA";"HP EliteDisplay E233  23''";"actif";"HP EliteDisplay E233  23''";157,6;0;0;"Portable";"DIB";"HP";"INFORMATIQUE";"ECRAN";6,17;36;"Oui";;"Mariage du style et de la matière dans un écran professionnel d’une modernité remarquable, conçu pour une qualité optimale d’affichage, de productivité et d’ergonomie. L’écran HP EliteDisplay E233 de 58,42 cm (23 po) possède un cadre à bords ultra-fins sur 3 côtés pour un affichage1 fluide en mosaïque et un réglage dans 4 directions pour passer la journée confortablement.";;
"PRODUIT PRINCIPAL";"D9Y32ET";"Station d'accueil ";"actif";"Station d'accueil ";121,11;0;0;"Portable";"DIB";"HP";"INFORMATIQUE";"STATION D'ACCUEIL";4,97;36;"Oui";;"Conçue exclusivement pour les notebooks ultraslim HP EliteBook, la station d'accueil HP UltraSlim développe l'écran, le réseau et la connectivité des périphériques pour que vous puissiez être plus productif toute la journée - le tout via une station latérale simple à glisser.";;
"PRODUIT PRINCIPAL";"5TW13AA";"Station d'accueil  USB-C";"actif";"Station d'accueil  USB-C";210,32;0;0;"Portable";"DIB";"HP";"INFORMATIQUE";"STATION D'ACCUEIL";7,9;36;"Oui";;"Commencez à travailler sans délai grâce à une simple connexion par câble de vos ordinateurs portables dotés de ports USB-A et USB-C™[1] avec vos écrans, vos périphériques et le réseau filaire grâce à la station d'accueil universelle HP USB-C/A G2, flexible et compacte. La station d’accueil est optimisée par DisplayLink et compatible avec les ordinateurs portables HP, Apple®, Dell, Lenovo, et autres[2].";;
"PRODUIT PRINCIPAL";"2MW62ET";"Sacoche 15''";"actif";"Sachoche 15'' HP Prelude - Ouverture par le haut";13,39;0;0;"Portable";"DIB";"HP";"INFORMATIQUE";"ACCESSOIRE";1,43;36;"Oui";;"Aidez à protéger votre ordinateur portable en déplacement grâce au tissu plastifié durable de la sacoche HP 15.6 Prelude à ouverture par le haut, en couleur grâce à son intérieur bleu élégant.";;
"GARANTIE";"U6578E";"Ext de garantie 3 ans/site";"actif";;40;0;0;"Sans objet";"DIB";"HP";"INFORMATIQUE";"Extension de Garantie";1,3;36;"oui";;"Ext de garantie 3 ans/site";;
"GARANTIE";"UA6A1E";"Ext de garantie 3 ans";"actif";;118,144444444444;0;0;"Sans objet";"DIB";"HP";"INFORMATIQUE";"Extension de Garantie";3,9;36;"oui";;"Ext de garantie 3 ans";;
"GARANTIE";"UK703E";"Ext de garantie 3 ans";"actif";;72,2222222222222;0;0;"Sans objet";"DIB";"HP";"INFORMATIQUE";"Extension de Garantie";2,4;36;"oui";;"Ext de garantie 3 ans";;
"GARANTIE";"UB0E0E";"HP 3 ans Intervention sur site J+1 Elite";"actif";;104,311111111111;0;0;"Sans objet";"DIB";"HP";"INFORMATIQUE";"Extension de Garantie";3,4;36;"oui";;"HP 3 ans Intervention sur site J+1 Elite";;
