TYPE;Référence;Désignation;Etat;Commentaire;Prix d'achat dont ecotaxe;EcoTaxe;Eco Mobilier;Type;Fournisseur;Fabriquant;Catégorie;Sous Catégorie;Loyer;Durée;Visible sur le site;EAN;Description;id_document_contrat :;url image
LIVRAISON;SP-Liv-Sphinx;Livraison;actif;Livraison SPHINX CONNECT FRANCE 36 mois;0;0;0;Sans objet;SLI20090012;SPHINX CONNECT FRANCE;AUTRE;LIVRAISON;0;36;oui;;Livraison;;
PRODUIT;150056;Antenne 2/3/4G L- Shape;actif;Antenne 2/3/4G L- Shape;20;0;0;Sans objet;SLI20090012;-;IOT;Accessoires;0,656;36;Oui;;Omnidirectionnelle Antenne multi-bandes RF Solutions ANT-MDIP5-SMRP Direct Fouet, Externe SMA RP 5dBi WiFi;;http://www.leasing.capteranalyser.fr/26/hummingbird-notebook.jpg
PRODUIT;381875;Antenne 3dbi pour Kerlink Wirnet iStation 868 MHz;actif;Antenne 3dbi pour Kerlink Wirnet iStation 868 MHz;57;0;0;Sans objet;SLI20090012;Kerlink;IOT;Accessoires;1,8696;36;Oui;;Antenne fournie avec un câble coaxial de 1 mètre, spécialement conçue pour la passerelle Kerlink Wirnet Istation - 868 MHz .;;http://www.leasing.capteranalyser.fr/183/hummingbird-notebook.jpg
PRODUIT;381805;Injecteur POE 30 W pour Wirnet iStation Kerlink;actif;Injecteur POE 30 W pour Wirnet iStation Kerlink;69;0;0;Sans objet;SLI20090012;Kerlink;IOT;Accessoires;2,2632;36;Oui;;Permet de transformer un réseau Ethernet non alimenté en un réseau alimenté, pour les périphériques POE compatibles ( POE pour Power Over Ethernet ou en français Alimentation par le câble Ethernet);;http://www.leasing.capteranalyser.fr/184/injecteur-poe-pour-wirnet-istation-kerlink.jpg
PRODUIT;660178;Adaptateur secteur Sierra pour FX30;actif;Adaptateur secteur Sierra pour FX30;19,55;0;0;Sans objet;SLI20090012;Sierra Wireless;IOT;Accessoires;0,64124;36;Oui;;Adaptateur secteur à utiliser avec les passerelles IoT FX30.;;http://www.leasing.capteranalyser.fr/187/carte-sierra-smart-sim.jpg
PRODUIT;190902;VPN Industriel - trois ans d'abonnement;actif;VPN Industriel - trois ans d'abonnement;180;0;0;Immatériel;SLI20090012;-;IOT;Applications;5,904;36;Oui;;Notre VPN industriel est une solution pour connecter en toute sécurité personnes, équipements et applications critiques.Basé sur OpenVPN.;;http://www.leasing.capteranalyser.fr/53/airlink-management-services.jpg
PRODUIT;670303;Outil de gestion des réseaux LoRaWAN MyLNS- trois ans d'abonnement;actif;Outil de gestion des réseaux LoRaWAN MyLNS- trois ans d'abonnement;467,64;0;0;Immatériel;SLI20090012;-;IOT;Applications;15,338592;36;Oui;;Cette plate-forme est une solution puissante et facile à utiliser pour déployer, exploiter et gérer votre réseau IoT LoRaWAN.;;https://www.leasing.capteranalyser.fr/192-large_default/mylns-outils-pour-la-gestion-de-reseaux-lorawan-un-an-d-abonnement.jpg
PRODUIT;660184;AirLink Management System ALMS - utrois ans d'abonnement;actif;AirLink Management System ALMS - utrois ans d'abonnement;60;0;0;Immatériel;SLI20090012;Sierra Wireless;IOT;Applications;1,968;36;Oui;;AirLink Management Service (ALMS) prend en charge l'enregistrement, la configuration et les mises à jour logicielles des appareils par voie aérienne. Les tableaux de bord affichent des vues actualisées de l'ensemble de la flotte, et des rapports personnalisés peuvent être configurés pour surveiller les événements critiques et prévenir les temps d'arrêt.;;http://www.leasing.capteranalyser.fr/188/airlink-management-services.jpg
PRODUIT;381895;Ancre LoRaWAN Kerlink Wanesy Wave 868 MHz;actif;Ancre LoRaWAN Kerlink Wanesy Wave 868 MHz;114;0;0;Portable;SLI20090012;Kerlink;IOT;Capteur IoT;3,7392;36;Oui;;Une ancre LoRaWAN pour contrôler les ressources Wi-Fi et/ou Bluetooth en temps réel afin de permettre la gestion d’application industrielle.;;http://www.leasing.capteranalyser.fr/162/ancre-lorawan-kerlink-wanesy-wave-.jpg
PRODUIT;381801;Réseau privé LoRaWAN d’intérieur - passerelle Kerlink Wirnet iFemtoCell;actif;Réseau privé LoRaWAN d’intérieur - passerelle Kerlink Wirnet iFemtoCell;266;0;0;Portable;SLI20090012;Kerlink;IOT;Passerelle IoT;8,7248;36;Oui;;La passerelle compacte Wirnet iFemtoCell recueille les données des capteurs LoRAWAN pour les envoyer sur le réseau Ethernet ou 4G.Elle est conçue pour être installée à l'intérieur d'un bâtiment (pour une installation extérieure voir la Wirnet iStation).;;http://www.leasing.capteranalyser.fr/96/passerelle-lorawan-interieur-kerlink-wirnet-ifemtocell.jpgifemtocell.jpg
