"N°";"Nom";"Etat";"Site associé";"Visible sur le site";"Description"
1;"Carter amovible porte bouteille oxygène pour brancard Promotal Elineo";"actif";"hexamed";"Oui";"<p><strong>Carter amovible porte bouteille</strong> oxygène pour brancards Elineo Promotal.</p>
<p> </p>
<p><span style=""color:#ff0000;""><em>Accessoire à commander en même temps que le brancard Elinéo.</em></span></p>"
2;"Fauteuil de prélèvement fixe Carina 525 - 75 cm";"actif";"hexamed";"Oui";"<p style=""text-align:justify;"">Le <strong>fauteuil de prélèvement fixe Carina 525</strong> est consacré à la réalisation de prélèvements sanguins. Il est donc naturellement dédié aux pôles biologie des établissements de soins hospitaliers, des cliniques et aux laboratoires de biologie médicale effectuant des analyses médicales. <br /><br />De par sa confection assez simple, il est plutôt considéré comme un mobilier d’entrée de gamme. Il est parfaitement adapté pour équiper une salle de prélèvement et fournit au personnel soignant et aux infirmier(e)s tout le nécessaire pour réaliser la prise de sang dans de bonnes conditions : gouttières confortables, bonne installation du patient, hauteur adéquate.<br /><br />Le <strong>fauteuil de prélèvement fixe Carina 525</strong> dispose de 3 parties, qui peuvent être alignées et inclinées pour former la position de Trendelenburg autrement nommée « position dorsosacrée déclive », c’est-à-dire que le patient est allongé sur le dos, et le divan est légèrement incliné de sorte à ce qu’il ait la tête vers le bas et les pieds vers le haut. Cette méthode de placement est adaptée pour favoriser la pression sanguine et augmenter l’afflux de sang au cerveau, dans le but de réveiller un patient qui aurait été victime d’un malaise. Une telle réaction du patient peut en effet avoir lieu dans ce type d'environnement médicalisé.<br /><br />Chacune des parties du matelas est surmontée d’une sellerie confortable d’environ 8 centimètres, une épaisseur conférant à la table d’examen un excellent soutien et un bon confort. L’assise du fauteuil est légèrement inclinée vers l’arrière pour que le patient soit bien maintenu assis et qu’il n’ait pas de sensation de glissement vers l’avant. Ainsi le patient se sent bien installé et le technicien de santé peut procéder à la prise de sang, dans une atmosphère relativement favorable à la détendre.<br /><br />Disponible en deux hauteurs, il est préconisé d'opter pour celui de 52 cm dans le cas ou l'on souhaite faire des prises de sang et pour celui de 75 cm pour tout ce qui est prélèvements gynécologiques.<br /><br />Pour accessoiriser votre<strong> fauteuil de prélèvement fixe Carina 525</strong> (gouttière polyuréthane, protection, porte rouleau, …) n’hésitez pas à contacter nos conseillers de clientèle afin d’établir un devis sur mesure pour équiper votre salle de prélèvement.<br /><br /><br />Garantie : 1 an (hors sellerie)</p>
<div align=""center"" style=""text-align:center;""></div>
<p style=""text-align:center;""><span style=""color:#f61111;"">________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;color:#f61111;"">Transport du mobilier :</span></p>
<p style=""text-align:center;""><span style=""color:#f61111;"">Livraison de base pas de porte à l'adresse indiquée.</span></p>
<p style=""text-align:center;""><span style=""color:#f61111;"">Pour toute livraison en RDC ou à l'étage, merci d'ajouter une des deux prestations de la fiche référence 91334RES.</span></p>
<p style=""text-align:center;""><span style=""color:#f61111;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#f61111;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#f61111;"">_______________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""></p>"
3;"Fauteuil de prélèvement fixe Carina 525 - 52 cm";"actif";"hexamed";"Oui";"<p style=""text-align:justify;"">Le <strong>fauteuil de prélèvement fixe Carina 525</strong> est consacré à la réalisation de prélèvements sanguins. Il est donc naturellement dédié aux pôles biologie des établissements de soins hospitaliers, des cliniques et aux laboratoires de biologie médicale effectuant des analyses médicales. <br /><br />De par sa confection assez simple, il est plutôt considéré comme un mobilier d’entrée de gamme. Il est parfaitement adapté pour équiper une salle de prélèvement et fournit au personnel soignant et aux infirmier(e)s tout le nécessaire pour réaliser la prise de sang dans de bonnes conditions : gouttières confortables, bonne installation du patient, hauteur adéquate.<br /><br />Le <strong>fauteuil de prélèvement fixe Carina 525</strong> dispose de 3 parties, qui peuvent être alignées et inclinées pour former la position de Trendelenburg autrement nommée « position dorsosacrée déclive », c’est-à-dire que le patient est allongé sur le dos, et le divan est légèrement incliné de sorte à ce qu’il ait la tête vers le bas et les pieds vers le haut. Cette méthode de placement est adaptée pour favoriser la pression sanguine et augmenter l’afflux de sang au cerveau, dans le but de réveiller un patient qui aurait été victime d’un malaise. Une telle réaction du patient peut en effet avoir lieu dans ce type d'environnement médicalisé.<br /><br />Chacune des parties du matelas est surmontée d’une sellerie confortable d’environ 8 centimètres, une épaisseur conférant à la table d’examen un excellent soutien et un bon confort. L’assise du fauteuil est légèrement inclinée vers l’arrière pour que le patient soit bien maintenu assis et qu’il n’ait pas de sensation de glissement vers l’avant. Ainsi le patient se sent bien installé et le technicien de santé peut procéder à la prise de sang, dans une atmosphère relativement favorable à la détendre.<br /><br />Disponible en deux hauteurs, il est préconisé d'opter pour celui de 52 cm dans le cas ou l'on souhaite faire des prises de sang et pour celui de 75 cm pour tout ce qui est prélèvements gynécologiques.<br /><br />Pour accessoiriser votre<strong> fauteuil de prélèvement fixe Carina 525</strong> (gouttière polyuréthane, protection, porte rouleau, …) n’hésitez pas à contacter nos conseillers de clientèle afin d’établir un devis sur mesure pour équiper votre salle de prélèvement.<br /><br /><br />Garantie : 1 an (hors sellerie)</p>
<div align=""center"" style=""text-align:center;""></div>
<p style=""text-align:center;""><span style=""color:#f61111;"">________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;color:#f61111;"">Transport du mobilier :</span></p>
<p style=""text-align:center;""><span style=""color:#f61111;"">Livraison de base pas de porte à l'adresse indiquée.</span></p>
<p style=""text-align:center;""><span style=""color:#f61111;"">Pour toute livraison en RDC ou à l'étage, merci d'ajouter une des deux prestations de la fiche référence 91334RES.</span></p>
<p style=""text-align:center;""><span style=""color:#f61111;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#f61111;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#f61111;"">_______________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""></p>"
4;"Étriers de gynécologie pour divan ou fauteuil d'examen Ecopostural";"actif";"hexamed";"Oui";"<p><strong>Étriers de gynécologie Ecopostural</strong>.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Conditionnement :</span> la paire.</p>
<p> </p>
<p><span style=""color:#ff0000;""><em>A commander en même temps que le divan (montage usine) et uniquement compatible avec les divans ou fauteuils d'examens gynécologiques.</em></span></p>
<p><span style=""color:#ff0000;""><em>Attention, ces étriers ne sont pas compatibles avec les barrières pliantes référence 18290COP. Il est possible d'installer seulement l'un des deux accessoire sur le divan.</em></span></p>"
5;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Micro - diamètre 2 mm";"actif";"hexamed";"Oui";"<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est un outil qui dispose d’une technologie cryogénique nouvelle génération. Il a été conçu pour traiter des maladies virales, prémalignes ou malignes par les obstétriciens/gynécologues, les proctologues, les dermatologues ou encore les chirurgiens.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est fiable et performant et ne peut être utilisé qu'avec du CO2. Le CO2 produit une température d'environ -65°C. Plus la température est basse et plus les tissus se détruisent rapidement de même que, plus la durée du contact entre l'embout de cryothérapie et le tissu est longue, plus la congélation des tissus sera profonde.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> se présente sous la forme d'une sonde pneumatique d’environ 17,8 cm de long relié à un tube d'environ un mètre avec un étrier de bouteille de gaz et un manomètre à l'extrémité.</p>
<p style=""text-align:justify;"">En plus d’être à la pointe en matière de sécurité, il est économique puisqu’il a la capacité d’économiser le gaz.</p>
<p style=""text-align:justify;"">Simple d'utilisation, il suffit d'allumer le réservoir de gaz et d'utiliser la sonde. Le dispositif dispose d'une gâchette qu'il est possible de régler de trois façons differentes pour trois actions différentes. La première est la position de base (positions OFF), la seconde est la position dite « Freeze » qui va permettre de congeler les tissus, et la troisième, la position « Defrost » qui va servir à décongeler les tissus.</p>
<p style=""text-align:justify;"">Il est possible pendant l'intervention de changer l'embout au niveau de la sonde afin de choisir le plus adapté.</p>
<p style=""text-align:justify;"">Ce système ne peut pas être utilisé si le patient présente des éventuels infections dans les tissus environnants, si le patient souffre d’une maladie inflammatoire dans les tissus environnants ou chez les femmes enceintes.</p>
<p style=""text-align:justify;"">Après utilisation, il est impératif d’éteindre le réservoir de gaz et de nettoyer et désinfecter le système après chaque utilisation.</p>
<p style=""text-align:justify;""><br /><strong>Modèles au choix :</strong></p>
<p style=""text-align:justify;"">- 28492HBG : MGC-200 avec adaptateur CO2 + canule micro - diamètre 2 mm</p>
<p style=""text-align:justify;"">- 28493HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 5 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28506HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - ronde</p>
<p style=""text-align:justify;"">- 28507HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 8 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28508HBG : MGC-200 avec adaptateur CO2 + canule anorectale</p>
<p style=""text-align:justify;"">- 28509HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - plate</p>
<p style=""text-align:justify;"">- 28510HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - convexe</p>
<p style=""text-align:justify;"">- 28511HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - petite</p>
<p style=""text-align:justify;"">- 28512HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - 25 mm - plate</p>
<p style=""text-align:justify;"">- 28513HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - pour nullipare</p>
<p style=""text-align:justify;"">- 28514HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - large</p>"
6;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 -  Lésion de la peau - larg 5 mm - angle 45°";"actif";"hexamed";"Oui";"<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est un outil qui dispose d’une technologie cryogénique nouvelle génération. Il a été conçu pour traiter des maladies virales, prémalignes ou malignes par les obstétriciens/gynécologues, les proctologues, les dermatologues ou encore les chirurgiens.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est fiable et performant et ne peut être utilisé qu'avec du CO2. Le CO2 produit une température d'environ -65°C. Plus la température est basse et plus les tissus se détruisent rapidement de même que, plus la durée du contact entre l'embout de cryothérapie et le tissu est longue, plus la congélation des tissus sera profonde.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> se présente sous la forme d'une sonde pneumatique d’environ 17,8 cm de long relié à un tube d'environ un mètre avec un étrier de bouteille de gaz et un manomètre à l'extrémité.</p>
<p style=""text-align:justify;"">En plus d’être à la pointe en matière de sécurité, il est économique puisqu’il a la capacité d’économiser le gaz.</p>
<p style=""text-align:justify;"">Simple d'utilisation, il suffit d'allumer le réservoir de gaz et d'utiliser la sonde. Le dispositif dispose d'une gâchette qu'il est possible de régler de trois façons differentes pour trois actions différentes. La première est la position de base (positions OFF), la seconde est la position dite « Freeze » qui va permettre de congeler les tissus, et la troisième, la position « Defrost » qui va servir à décongeler les tissus.</p>
<p style=""text-align:justify;"">Il est possible pendant l'intervention de changer l'embout au niveau de la sonde afin de choisir le plus adapté.</p>
<p style=""text-align:justify;"">Ce système ne peut pas être utilisé si le patient présente des éventuels infections dans les tissus environnants, si le patient souffre d’une maladie inflammatoire dans les tissus environnants ou chez les femmes enceintes.</p>
<p style=""text-align:justify;"">Après utilisation, il est impératif d’éteindre le réservoir de gaz et de nettoyer et désinfecter le système après chaque utilisation.</p>
<p style=""text-align:justify;""><br /><strong>Modèles au choix :</strong></p>
<p style=""text-align:justify;"">- 28492HBG : MGC-200 avec adaptateur CO2 + canule micro - diamètre 2 mm</p>
<p style=""text-align:justify;"">- 28493HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 5 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28506HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - ronde</p>
<p style=""text-align:justify;"">- 28507HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 8 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28508HBG : MGC-200 avec adaptateur CO2 + canule anorectale</p>
<p style=""text-align:justify;"">- 28509HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - plate</p>
<p style=""text-align:justify;"">- 28510HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - convexe</p>
<p style=""text-align:justify;"">- 28511HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - petite</p>
<p style=""text-align:justify;"">- 28512HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - 25 mm - plate</p>
<p style=""text-align:justify;"">- 28513HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - pour nullipare</p>
<p style=""text-align:justify;"">- 28514HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - large</p>"
7;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Endocervicale - ronde";"actif";"hexamed";"Oui";"<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est un outil qui dispose d’une technologie cryogénique nouvelle génération. Il a été conçu pour traiter des maladies virales, prémalignes ou malignes par les obstétriciens/gynécologues, les proctologues, les dermatologues ou encore les chirurgiens.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est fiable et performant et ne peut être utilisé qu'avec du CO2. Le CO2 produit une température d'environ -65°C. Plus la température est basse et plus les tissus se détruisent rapidement de même que, plus la durée du contact entre l'embout de cryothérapie et le tissu est longue, plus la congélation des tissus sera profonde.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> se présente sous la forme d'une sonde pneumatique d’environ 17,8 cm de long relié à un tube d'environ un mètre avec un étrier de bouteille de gaz et un manomètre à l'extrémité.</p>
<p style=""text-align:justify;"">En plus d’être à la pointe en matière de sécurité, il est économique puisqu’il a la capacité d’économiser le gaz.</p>
<p style=""text-align:justify;"">Simple d'utilisation, il suffit d'allumer le réservoir de gaz et d'utiliser la sonde. Le dispositif dispose d'une gâchette qu'il est possible de régler de trois façons differentes pour trois actions différentes. La première est la position de base (positions OFF), la seconde est la position dite « Freeze » qui va permettre de congeler les tissus, et la troisième, la position « Defrost » qui va servir à décongeler les tissus.</p>
<p style=""text-align:justify;"">Il est possible pendant l'intervention de changer l'embout au niveau de la sonde afin de choisir le plus adapté.</p>
<p style=""text-align:justify;"">Ce système ne peut pas être utilisé si le patient présente des éventuels infections dans les tissus environnants, si le patient souffre d’une maladie inflammatoire dans les tissus environnants ou chez les femmes enceintes.</p>
<p style=""text-align:justify;"">Après utilisation, il est impératif d’éteindre le réservoir de gaz et de nettoyer et désinfecter le système après chaque utilisation.</p>
<p style=""text-align:justify;""><br /><strong>Modèles au choix :</strong></p>
<p style=""text-align:justify;"">- 28492HBG : MGC-200 avec adaptateur CO2 + canule micro - diamètre 2 mm</p>
<p style=""text-align:justify;"">- 28493HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 5 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28506HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - ronde</p>
<p style=""text-align:justify;"">- 28507HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 8 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28508HBG : MGC-200 avec adaptateur CO2 + canule anorectale</p>
<p style=""text-align:justify;"">- 28509HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - plate</p>
<p style=""text-align:justify;"">- 28510HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - convexe</p>
<p style=""text-align:justify;"">- 28511HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - petite</p>
<p style=""text-align:justify;"">- 28512HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - 25 mm - plate</p>
<p style=""text-align:justify;"">- 28513HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - pour nullipare</p>
<p style=""text-align:justify;"">- 28514HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - large</p>"
8;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Lésion de la peau - larg 8 mm - angle 45°";"actif";"hexamed";"Oui";"<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est un outil qui dispose d’une technologie cryogénique nouvelle génération. Il a été conçu pour traiter des maladies virales, prémalignes ou malignes par les obstétriciens/gynécologues, les proctologues, les dermatologues ou encore les chirurgiens.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est fiable et performant et ne peut être utilisé qu'avec du CO2. Le CO2 produit une température d'environ -65°C. Plus la température est basse et plus les tissus se détruisent rapidement de même que, plus la durée du contact entre l'embout de cryothérapie et le tissu est longue, plus la congélation des tissus sera profonde.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> se présente sous la forme d'une sonde pneumatique d’environ 17,8 cm de long relié à un tube d'environ un mètre avec un étrier de bouteille de gaz et un manomètre à l'extrémité.</p>
<p style=""text-align:justify;"">En plus d’être à la pointe en matière de sécurité, il est économique puisqu’il a la capacité d’économiser le gaz.</p>
<p style=""text-align:justify;"">Simple d'utilisation, il suffit d'allumer le réservoir de gaz et d'utiliser la sonde. Le dispositif dispose d'une gâchette qu'il est possible de régler de trois façons differentes pour trois actions différentes. La première est la position de base (positions OFF), la seconde est la position dite « Freeze » qui va permettre de congeler les tissus, et la troisième, la position « Defrost » qui va servir à décongeler les tissus.</p>
<p style=""text-align:justify;"">Il est possible pendant l'intervention de changer l'embout au niveau de la sonde afin de choisir le plus adapté.</p>
<p style=""text-align:justify;"">Ce système ne peut pas être utilisé si le patient présente des éventuels infections dans les tissus environnants, si le patient souffre d’une maladie inflammatoire dans les tissus environnants ou chez les femmes enceintes.</p>
<p style=""text-align:justify;"">Après utilisation, il est impératif d’éteindre le réservoir de gaz et de nettoyer et désinfecter le système après chaque utilisation.</p>
<p style=""text-align:justify;""><br /><strong>Modèles au choix :</strong></p>
<p style=""text-align:justify;"">- 28492HBG : MGC-200 avec adaptateur CO2 + canule micro - diamètre 2 mm</p>
<p style=""text-align:justify;"">- 28493HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 5 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28506HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - ronde</p>
<p style=""text-align:justify;"">- 28507HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 8 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28508HBG : MGC-200 avec adaptateur CO2 + canule anorectale</p>
<p style=""text-align:justify;"">- 28509HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - plate</p>
<p style=""text-align:justify;"">- 28510HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - convexe</p>
<p style=""text-align:justify;"">- 28511HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - petite</p>
<p style=""text-align:justify;"">- 28512HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - 25 mm - plate</p>
<p style=""text-align:justify;"">- 28513HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - pour nullipare</p>
<p style=""text-align:justify;"">- 28514HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - large</p>"
9;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Anorectale";"actif";"hexamed";"Oui";"<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est un outil qui dispose d’une technologie cryogénique nouvelle génération. Il a été conçu pour traiter des maladies virales, prémalignes ou malignes par les obstétriciens/gynécologues, les proctologues, les dermatologues ou encore les chirurgiens.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est fiable et performant et ne peut être utilisé qu'avec du CO2. Le CO2 produit une température d'environ -65°C. Plus la température est basse et plus les tissus se détruisent rapidement de même que, plus la durée du contact entre l'embout de cryothérapie et le tissu est longue, plus la congélation des tissus sera profonde.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> se présente sous la forme d'une sonde pneumatique d’environ 17,8 cm de long relié à un tube d'environ un mètre avec un étrier de bouteille de gaz et un manomètre à l'extrémité.</p>
<p style=""text-align:justify;"">En plus d’être à la pointe en matière de sécurité, il est économique puisqu’il a la capacité d’économiser le gaz.</p>
<p style=""text-align:justify;"">Simple d'utilisation, il suffit d'allumer le réservoir de gaz et d'utiliser la sonde. Le dispositif dispose d'une gâchette qu'il est possible de régler de trois façons differentes pour trois actions différentes. La première est la position de base (positions OFF), la seconde est la position dite « Freeze » qui va permettre de congeler les tissus, et la troisième, la position « Defrost » qui va servir à décongeler les tissus.</p>
<p style=""text-align:justify;"">Il est possible pendant l'intervention de changer l'embout au niveau de la sonde afin de choisir le plus adapté.</p>
<p style=""text-align:justify;"">Ce système ne peut pas être utilisé si le patient présente des éventuels infections dans les tissus environnants, si le patient souffre d’une maladie inflammatoire dans les tissus environnants ou chez les femmes enceintes.</p>
<p style=""text-align:justify;"">Après utilisation, il est impératif d’éteindre le réservoir de gaz et de nettoyer et désinfecter le système après chaque utilisation.</p>
<p style=""text-align:justify;""><br /><strong>Modèles au choix :</strong></p>
<p style=""text-align:justify;"">- 28492HBG : MGC-200 avec adaptateur CO2 + canule micro - diamètre 2 mm</p>
<p style=""text-align:justify;"">- 28493HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 5 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28506HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - ronde</p>
<p style=""text-align:justify;"">- 28507HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 8 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28508HBG : MGC-200 avec adaptateur CO2 + canule anorectale</p>
<p style=""text-align:justify;"">- 28509HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - plate</p>
<p style=""text-align:justify;"">- 28510HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - convexe</p>
<p style=""text-align:justify;"">- 28511HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - petite</p>
<p style=""text-align:justify;"">- 28512HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - 25 mm - plate</p>
<p style=""text-align:justify;"">- 28513HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - pour nullipare</p>
<p style=""text-align:justify;"">- 28514HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - large</p>"
10;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Exocervicale - 19 mm - plate";"actif";"hexamed";"Oui";"<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est un outil qui dispose d’une technologie cryogénique nouvelle génération. Il a été conçu pour traiter des maladies virales, prémalignes ou malignes par les obstétriciens/gynécologues, les proctologues, les dermatologues ou encore les chirurgiens.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> est fiable et performant et ne peut être utilisé qu'avec du CO2. Le CO2 produit une température d'environ -65°C. Plus la température est basse et plus les tissus se détruisent rapidement de même que, plus la durée du contact entre l'embout de cryothérapie et le tissu est longue, plus la congélation des tissus sera profonde.</p>
<p style=""text-align:justify;"">Le <strong>système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2</strong> se présente sous la forme d'une sonde pneumatique d’environ 17,8 cm de long relié à un tube d'environ un mètre avec un étrier de bouteille de gaz et un manomètre à l'extrémité.</p>
<p style=""text-align:justify;"">En plus d’être à la pointe en matière de sécurité, il est économique puisqu’il a la capacité d’économiser le gaz.</p>
<p style=""text-align:justify;"">Simple d'utilisation, il suffit d'allumer le réservoir de gaz et d'utiliser la sonde. Le dispositif dispose d'une gâchette qu'il est possible de régler de trois façons differentes pour trois actions différentes. La première est la position de base (positions OFF), la seconde est la position dite « Freeze » qui va permettre de congeler les tissus, et la troisième, la position « Defrost » qui va servir à décongeler les tissus.</p>
<p style=""text-align:justify;"">Il est possible pendant l'intervention de changer l'embout au niveau de la sonde afin de choisir le plus adapté.</p>
<p style=""text-align:justify;"">Ce système ne peut pas être utilisé si le patient présente des éventuels infections dans les tissus environnants, si le patient souffre d’une maladie inflammatoire dans les tissus environnants ou chez les femmes enceintes.</p>
<p style=""text-align:justify;"">Après utilisation, il est impératif d’éteindre le réservoir de gaz et de nettoyer et désinfecter le système après chaque utilisation.</p>
<p style=""text-align:justify;""><br /><strong>Modèles au choix :</strong></p>
<p style=""text-align:justify;"">- 28492HBG : MGC-200 avec adaptateur CO2 + canule micro - diamètre 2 mm</p>
<p style=""text-align:justify;"">- 28493HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 5 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28506HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - ronde</p>
<p style=""text-align:justify;"">- 28507HBG : MGC-200 avec adaptateur CO2 + canule lésion de la peau - larg 8 mm - angle 45°</p>
<p style=""text-align:justify;"">- 28508HBG : MGC-200 avec adaptateur CO2 + canule anorectale</p>
<p style=""text-align:justify;"">- 28509HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - plate</p>
<p style=""text-align:justify;"">- 28510HBG : MGC-200 avec adaptateur CO2 + canule exocervicale - 19 mm - convexe</p>
<p style=""text-align:justify;"">- 28511HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - petite</p>
<p style=""text-align:justify;"">- 28512HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - 25 mm - plate</p>
<p style=""text-align:justify;"">- 28513HBG : MGC-200 avec adaptateur CO2 + canule endocervicale - pour nullipare</p>
<p style=""text-align:justify;"">- 28514HBG : MGC-200 avec adaptateur CO2 + canule endo/exocervicale - large</p>"
