"TYPE";"Référence";"Désignation";"Etat";"Commentaire";"Prix d'achat dont ecotaxe";"EcoTaxe";"Eco Mobilier";"Type";"Fournisseur";"Fabriquant";"Catégorie";"Sous Catégorie";"Loyer";"Durée";"Visible sur le site";"EAN";"Description";"id_document_contrat :";"url image"
"PRODUIT PRINCIPAL";"15458IDM";"Carter amovible porte bouteille oxygène pour brancard Promotal Elineo";"actif";"Carter amovible porte bouteille oxygène pour brancard Promotal Elineo";195,83;0;0;"Portable";"SLI19120442";"PROMOTAL MIDMARK";"MEDICAL";"Accessoires pour mobilier médical";4,132075;60;"Oui";;"Carter amovible porte bouteille oxygène pour brancard Promotal Elineo";;"https://www.hexamed-leasing.fr/33470-home_default/carter-amovible-porte-bouteille-oxygene-promotal.jpg"
"PRODUIT PRINCIPAL";"23098ARI92096ARI";"Fauteuil de prélèvement fixe Carina 525 - 75 cm";"actif";"Fauteuil de prélèvement fixe Carina 525 - 75 cm";1183,33;0;0;"Fixe";"SLI19120442";"Carina";"MEDICAL";"Mobilier de prélèvement médical";24,401405;60;"Oui";;"Fauteuil de prélèvement fixe Carina 525 - 75 cm";;"https://www.hexamed-leasing.fr/33587-home_default/fauteuil-de-prelevement-fixe-carina-525.jpg"
"PRODUIT PRINCIPAL";"23079ARI92096ARI";"Fauteuil de prélèvement fixe Carina 525 - 52 cm";"actif";"Fauteuil de prélèvement fixe Carina 525 - 52 cm";1183,33;0;0;"Fixe";"SLI19120442";"Carina";"MEDICAL";"Mobilier de prélèvement médical";24,401405;60;"Oui";;"Fauteuil de prélèvement fixe Carina 525 - 52 cm";;"https://www.hexamed-leasing.fr/33587-home_default/fauteuil-de-prelevement-fixe-carina-525.jpg"
"PRODUIT PRINCIPAL";"27528COP";"Étriers de gynécologie pour divan ou fauteuil d'examen Ecopostural";"actif";"Étriers de gynécologie pour divan ou fauteuil d'examen Ecopostural";195;0;0;"Portable";"SLI19120442";"Ecopostural";"MEDICAL";"Accessoires pour mobilier médical";4,034954;60;"Oui";;"Étriers de gynécologie pour divan ou fauteuil d'examen Ecopostural";;"https://www.hexamed-leasing.fr/33592-home_default/etriers-de-gynecologie-pour-divan-ou-fauteuil-d-examen-ecopostural.jpg"
"PRODUIT PRINCIPAL";"28492HBG92449HBG";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Micro - diamètre 2 mm";"actif";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Micro - diamètre 2 mm";2650;0;0;"Portable";"SLI19120442";"HBG";"MEDICAL";"Instruments de cryothérapie";52,398454;60;"Oui";;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Micro - diamètre 2 mm";;"https://www.hexamed-leasing.fr/33586-home_default/systeme-cryo-sonde-medgyn-mgc-200-pour-cryotherapie-du-col-avec-adaptateur-co2.jpg"
"PRODUIT PRINCIPAL";"28493HBG92449HBG";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 -  Lésion de la peau - larg 5 mm - angle 45°";"actif";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 -  Lésion de la peau - larg 5 mm - angle 45°";2650;0;0;"Portable";"SLI19120442";"HBG";"MEDICAL";"Instruments de cryothérapie";52,398454;60;"Oui";;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 -  Lésion de la peau - larg 5 mm - angle 45°";;"https://www.hexamed-leasing.fr/33586-home_default/systeme-cryo-sonde-medgyn-mgc-200-pour-cryotherapie-du-col-avec-adaptateur-co2.jpg"
"PRODUIT PRINCIPAL";"28506HBG92449HBG";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Endocervicale - ronde";"actif";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Endocervicale - ronde";2650;0;0;"Portable";"SLI19120442";"HBG";"MEDICAL";"Instruments de cryothérapie";52,398454;60;"Oui";;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Endocervicale - ronde";;"https://www.hexamed-leasing.fr/33586-home_default/systeme-cryo-sonde-medgyn-mgc-200-pour-cryotherapie-du-col-avec-adaptateur-co2.jpg"
"PRODUIT PRINCIPAL";"28507HBG92449HBG";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Lésion de la peau - larg 8 mm - angle 45°";"actif";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Lésion de la peau - larg 8 mm - angle 45°";2650;0;0;"Portable";"SLI19120442";"HBG";"MEDICAL";"Instruments de cryothérapie";52,398454;60;"Oui";;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Lésion de la peau - larg 8 mm - angle 45°";;"https://www.hexamed-leasing.fr/33586-home_default/systeme-cryo-sonde-medgyn-mgc-200-pour-cryotherapie-du-col-avec-adaptateur-co2.jpg"
"PRODUIT PRINCIPAL";"28508HBG92449HBG";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Anorectale";"actif";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Anorectale";2650;0;0;"Portable";"SLI19120442";"HBG";"MEDICAL";"Instruments de cryothérapie";52,398454;60;"Oui";;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Anorectale";;"https://www.hexamed-leasing.fr/33586-home_default/systeme-cryo-sonde-medgyn-mgc-200-pour-cryotherapie-du-col-avec-adaptateur-co2.jpg"
"PRODUIT PRINCIPAL";"28509HBG92449HBG";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Exocervicale - 19 mm - plate";"actif";"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Exocervicale - 19 mm - plate";2650;0;0;"Portable";"SLI19120442";"HBG";"MEDICAL";"Instruments de cryothérapie";52,398454;60;"Oui";;"Système cryo-sonde MedGyn MGC-200 pour cryothérapie du col avec adaptateur CO2 - Exocervicale - 19 mm - plate";;"https://www.hexamed-leasing.fr/33586-home_default/systeme-cryo-sonde-medgyn-mgc-200-pour-cryotherapie-du-col-avec-adaptateur-co2.jpg"
