Code NAF,Raison Sociale,Groupe,Adresse,Code Postal,Ville,Tel Standard,Secteurs,Type,Observations
,3 SUISSES HOLDING,,4 place de la république,59170,Croix,+33 3 20 20 30 30,,prospect ,"_x000D_08/06/11 contact Mme VANDAMME Annouk : recrute en interne, fait appelle à des cabR sur des postes pointus (e-marketing), me conseille d'envoyer une plaquette et reviendra vers nous,a1vandamme@commerce-btoc.com > relancer s+1_x000D__x000D_27/29/11 : renv mail_x000D_"
,A-VOLUTE,,1 rue du transit_x000D__x000D_,59650,Villeneuve d'Ascq,+ 33 3 20 91 78 69,Services - Conseil|,prospect ,"* En développant de nouvelles technologies du son 3D, A-Volute propose et crée des solutions audio sur mesure._x000D_* http://a-volute.com/enduser/_x000D__x000D_17/06/11 : contact rh  : l'entreprise souhaite doubler son effectif l'année prochaine et souhaite solliciter un cabR, embauche après les stages la plupart du temps, env mail pour qu'elle le transfert au dg Mr PHAM ,contact@a-volute.com, aucunes dispos jusqu'en août, rel mi aout, bon contact > rel août_x000D__x000D_05/08/11 : Mr PHAM : à retouvé notre mail, souhaite être recontacter fin sept/deb octobre pour des recrutements début 2012, là c'est trop tôt_x000D__x000D_20/09/11 : Mr PHAM :  souhaite être recontacté début d'anné pour des recrutements début 2012, là c'est trop tôt_x000D_17/04: rdv"
,ABSYS.CYBORG,,,,Roubaix,+33 (0)3 59 57 57 57,Services - Conseil|,prospect ,Consultant Support Microsoft Dynamics NAV_x000D_développeur Sage X3
,ABX LOGISTICS,,5 RUE DU CALVAIRE,59812,lEsquin,0320607283,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,PSE en avril 2010_x000D_Pas de recrutement avant avril 2012
,ABYLSEN,,"629, avenue de la République_x000D_59000 Lille",,Lille,+33 (0)3 28 36 31 79,Ingénierie-Bureau d’Etudes|Services - Conseil/,prospect ,H/F Ingénieur d'affaires
,ACT IMPORT,,677 avenue de la republique,59000,Lille,+33 3 62 13 80 90,,prospect ,17/05/11 : eu gérante au tel. s'occupe des recrutements seule car toujors décue par les cabinets de recrutement. ne souhaite pas renouveller l'opération._x000D_A rappeller fin d'année_x000D__x000D_06/10 : eu assistante. a eu bcp d'appels de cabinet de recrutements et laissé message que ne veut oas passer par un cabinet._x000D_laissé mes coordonnées pour rappel
,ACTICALL,,,,,0153567000,Call Centers|Services - Conseil/,prospect ,centralisé sur Paris
,ACTIWAN,,"189, Allée Chardin_x000D_",59650,Villeneuve d'Ascq,+33 3 20 34 83 40,Services - Conseil|,prospect ,Faux numero
,ACTOS FORMATION,,,,,+33 3 28 55 91 91,Call Centers|Services - Conseil/,prospect ,peu de recrutement externe et pas de cabinet
,AD COM,,,,,+33 3 20 94 83 05,Call Centers|Services - Conseil/,prospect ,petite strucutre - très peu de recrutements
