cial,Raison sociale 1,relation,Code postal,Ville,ID SECTEUR,N° Téléphone,Libellé fonction dirigeant principal,Nom ou raison sociale dirigeant principal,Code civilité dirigeant principal,Prenom dirigeant principal,Nom représentant dirigeant principal,Siren,Siret,Adresse,Code NAF entreprise,Libellé NAF entreprise,N° Fax,Dernier chiffre d'affaires connu,Effectif Entreprise,Date de création Entreprise,Libellé forme juridique,Capital social
AED,RESIDENCE DE LA VIEILLE EGLISE,,62153,ABLAIN SAINT NAZAIRE,1,321451000,Président,DOMIDEP,,Dominique,PELLE,378331623,37833162300025,105 RUE MARCEL LANCINO,8710A,Hébergement médicalisé pour personnes âgées,,1643293,37,1990-06-18,Société par actions simplifiée,40000
AED,JEAN-LOUIS CARON,,62116,ABLAINZEVELLE,1,321719388,Gérant,CARON,M,Jean Louis,,477800171,47780017100019,6 RUE DU 11 NOVEMBRE,4391B,Travaux de couverture par éléments,,873232,11,2004-07-12,Société à responsabilité limitée,8000
AED,CABINET LEMAIRE-SCHERPEREEL & POTREL,,62217,ACHICOURT,1,321515877,Président Directeur Général,SCHERPEREEL,M,Jean,,377710116,37771011600064,34 RUE ROGER SALENGRO,6621Z,Évaluation des risques et dommages,,2408414,31,1990-04-01,SA à conseil d'administration,518058
AED,GENERALE DES TECHNIQUES,,62217,ACHICOURT,1,321222324,Président,TURK,M,Francois,,353238686,35323868600029,RUE DES PLANQUETTES,2550B,"Découpage, emboutissage",321222325,5557108,45,1990-01-04,Société par actions simplifiée,550000
AED,SARL PHILIPPE GOBERT,,62217,ACHICOURT,1,321508306,Président,ORTHOS,M,Pierre-Arthur Christian,LOBRY,421761230,42176123000018,RUE DU MOULIN HACART,4332A,Travaux de menuiserie bois et PVC,,2296977,17,1999-01-01,Société par actions simplifiée,50000
AED,THEMIS,,62217,ACHICOURT,1,321550996,Président,GUILBERT,M,Frederic,,950390864,95039086400011,RUE DU 19 MARS 1962,4711D,Supermarchés,,17025679,47,1989-10-10,Société par actions simplifiée,73600
AED,SA EMS,,62121,ACHIET LE GRAND,1,321161700,Président,SELLIER,,Michel,,382008852,38200885200016,17 RUE DE LA PETITE VITESSE,2550B,"Découpage, emboutissage",321161701,1051379,14,1991-04-01,Société par actions simplifiée,182938
AED,EARL LENGLET,,62116,ADINFER,1,321593647,Co-gérant,LENGLET,M,Daniel,,413139973,41313997300015,8 RUE D'EN BAS,0113Z,"Culture de légumes, de melons, de racines et de tubercules",,,10,1997-06-01,EARL - Exploitation agricole à responsabilité limitée,164644
AED,J.A LOMBART,,62134,ANVIN,1,321046252,Gérant,LOMBART,M,Jean Aime,,510580798,51058079800013,759 RUE D HESDIN,4941A,Transports routiers de fret interurbains,,4261980,42,2008-07-01,Société à responsabilité limitée,500000
AED,GITEC CONSTRUCTIONS,,62223,ANZIN SAINT AUBIN,1,321151100,Gérant,COUTANCEAU,M,Philippe Marie,,381813856,38181385600063,CHE DES FILATIERS,4120A,Construction de maisons individuelles,321151101,2876776,14,1991-04-25,Société à responsabilité limitée,272920
AED,STEPHANE DUPONT ELECTRICITE,,62223,ANZIN SAINT AUBIN,1,321233018,Gérant,DUPONT,M,Stephane,,487519407,48751940700026,58 CHE DES FILATIERS,4321A,Travaux d'installation électrique dans tous locaux,,1280409,10,2005-12-14,SARL unipersonnelle,45000
AED,TRANSPORTS GILLES ALLART,,62223,ANZIN SAINT AUBIN,1,321510617,Président,ALLART,M,Gilles,,318827722,31882772200022,CHE DES FILATIERS,4941A,Transports routiers de fret interurbains,321232095,2642886,17,1980-04-01,Société par actions simplifiée,104000
AED,COUSIN AGRICOLE,,62580,ARLEUX EN GOHELLE,1,321607375,Gérant,COUSIN,M,Stephane,,503245169,50324516900019,11 RUE DE LENS,0161Z,Activités de soutien aux cultures,321607379,3398092,24,2008-03-11,Société à responsabilité limitée,1310000
AED,COUSIN TTL,,62580,ARLEUX EN GOHELLE,1,321607374,Président,COUSIN,M,Michel,,503288227,50328822700013,11 RUE DE LENS,4941B,Transports routiers de fret de proximité,321607372,3605052,33,2008-03-13,Société par actions simplifiée,550000
AED,4AJ UN TREMPLIN POUR LES JEUNES,,62000,ARRAS,1,321551101,,,,,,783905433,78390543300018,30 GRAND PLACE,5590Z,Autres hébergements,,,10,1900-01-01,Association déclarée,
AED,ACG CENTER,,62000,ARRAS,1,321153636,Président du conseil d'administration,DELEPLANQUE,M,Gregory,,433305448,43330544800055,2 RUE WILLY BRANDT,6202A,Conseil en systèmes et logiciels informatiques,,1205976,20,2000-10-01,Société anonyme nationale à conseil d'administration,82200
AED,AIDE ET SERVICES AUX PERSONNES,,62000,ARRAS,1,962130759,,,,,,387506959,38750695900023,21 RUE DU GENERAL BARBOT,8810A,Aide à domicile,321155348,,20,1992-05-01,Association déclarée,
AED,AIDE FAMILIALE POULAIRE ARRAS ENVIRONS,,62000,ARRAS,1,321713267,,,,,,783912066,78391206600025,69 RUE DU TEMPLE,8899B,Action sociale sans hébergement n.c.a.,321511879,,20,1900-01-01,Association déclarée,
AED,AMBULANCES ARRAGEOISES,,62000,ARRAS,1,321710303,Associé-gérant,LETURQUE,M,Frederic,,489939124,48993912400041,RUE MARTIN LUTHER KING,8690A,Ambulances,,1819279,41,2006-04-25,Société à responsabilité limitée,10000
AED,ARRADIS,,62000,ARRAS,1,321213334,Président,MAURICE,M,Jean,,324356625,32435662500016,91 AV FERNAND LOBBEDEZ,4711F,Hypermarchés,321213330,39747663,132,1982-04-19,Société par actions simplifiée,160000
AED,ARRAS FRUITS,,62000,ARRAS,1,321736011,Co-gérant,DORNBIERER,M,Bruno,,332523034,33252303400012,3 RUE D ACHICOURT,4721Z,Commerce de détail de fruits et légumes en magasin spécialisé,,2800484,18,1984-12-01,Société à responsabilité limitée,41600
AED,ARRAS FUNERAIRE,,62000,ARRAS,1,321248630,Gérant,LEMAIRE,M,Laurent,,381432780,38143278000017,146 RUE GUSTAVE COLIN,9603Z,Services funéraires,,1809333,18,1991-04-01,SARL unipersonnelle,7622
AED,ARRAS PAYS D ARTOIS BASKET FEMININ,,62000,ARRAS,1,321161200,,,,,,508321346,50832134600019,RUE EMILE ZOLA,9312Z,Activités de clubs de sports,321161201,,10,2008-07-01,Association déclarée,
AED,ASS CHARLOTTE ET MARINE,,62000,ARRAS,1,321732929,,,,,,423032234,42303223400019,27 RUE DES ROSATI,8891A,Accueil de jeunes enfants,,,20,1999-05-01,Association déclarée,
AED,ASS DEPART PUPILLES ENSEIGNEMENT PUBLI,,62000,ARRAS,1,321509260,,,,,,301571386,30157138600079,7 PL DE TCHECOSLOVAQUIE,8899B,Action sociale sans hébergement n.c.a.,,,100,1900-01-01,Association déclarée,
AED,ASS DEPARTEMENTALE ACTIONS EDUCATIVES,,62000,ARRAS,1,321713079,,,,,,783912207,78391220700017,16 BD CARNOT,8899B,Action sociale sans hébergement n.c.a.,321714369,,200,1900-01-01,Association déclarée,
AED,ASS REG DE GESTION ET COMPTABILITE,,62000,ARRAS,1,321512932,,,,,,324895101,32489510100016,21 RUE DU GENERAL BARBOT,6920Z,Activités comptables,321513909,,50,1982-04-01,Association déclarée,
AED,ASSOCIATION D'AIDE AUX SANS ABRI,,62000,ARRAS,1,321550112,,,,,,332920701,33292070100023,49 BD FAIDHERBE,8790B,Hébergement social pour adultes et familles en difficultés et autre hébergement social,321583731,,20,1985-01-01,Association déclarée,
AED,ASSOCIATION MULTISERVICES A DOMICILE,,62000,ARRAS,1,321712344,,,,,,344972880,34497288000027,21 RUE DU GENERAL BARBOT,8810A,Aide à domicile,321155348,,20,1988-01-01,Association déclarée,
AED,ASSOCIATION REGAIN,,62000,ARRAS,1,321071725,,,,,,398935577,39893557700039,8 RUE DIDEROT,9499Z,Autres organisations fonctionnant par adhésion volontaire,,,20,1994-10-24,"Association déclarée ""entreprises d'insertion par l'économique""",
